,STA,HO_failureratio,total_throughput,RSSI_current,RSSI_target,Delay_current,Delay_target,Current_AP,Target_AP,New_Associated_AP,time
0,sta1,0.0,6,-60.0,-74.0,0.092,0.027,ap1-wlan1,ap3-wlan1,ap3-wlan1,1696911418.6752753
1,sta2,0.5,0,-82.0,-90.0,0.028,0.049,ap1-wlan1,ap3-wlan1,ap3-wlan1,1696911469.8833768
2,sta2,0.3333333333333333,78,-85.0,-85.0,0.025,0.029,ap3-wlan1,ap2-wlan1,ap2-wlan1,1696911677.595489
3,sta2,0.25,78,-85.0,-85.0,0.024,0.020,ap2-wlan1,ap4-wlan1,ap4-wlan1,1696911763.299639
4,sta1,0.4,0,-81.0,-90.0,0.038,0.036,ap1-wlan1,ap3-wlan1,ap3-wlan1,1696911902.9975958
5,sta2,0.16666666666666666,1,-96.0,-96.0,0.032,0.024,ap4-wlan1,ap1-wlan1,ap1-wlan1,1696912057.2948816
6,sta1,0.2857142857142857,1,-96.0,-96.0,0.027,0.024,ap3-wlan1,ap1-wlan1,ap1-wlan1,1696912120.4600437
7,sta2,0.375,0,-64.0,-90.0,0.022,0.030,ap1-wlan1,ap4-wlan1,ap4-wlan1,1696912187.4979825
8,sta2,0.3333333333333333,78,-86.0,-86.0,0.025,0.022,ap4-wlan1,ap5-wlan1,ap5-wlan1,1696912299.8707085
9,sta2,0.3,78,-85.0,-85.0,0.023,0.023,ap5-wlan1,ap3-wlan1,ap3-wlan1,1696912445.227603
10,sta1,0.36363636363636365,0,-83.0,-90.0,0.033,0.029,ap1-wlan1,ap2-wlan1,ap2-wlan1,1696912572.2063828
11,sta1,0.4166666666666667,0,-93.0,-93.0,0.026,0.036,ap2-wlan1,ap3-wlan1,ap3-wlan1,1696912724.2653797
12,sta2,0.23076923076923078,78,-85.0,-85.0,0.028,0.027,ap3-wlan1,ap2-wlan1,ap2-wlan1,1696912840.4486027
13,sta2,0.42857142857142855,0,-92.0,-92.0,0.022,0.024,ap2-wlan1,ap4-wlan1,ap4-wlan1,1696913036.9177139
14,sta2,0.4666666666666667,0,-93.0,-93.0,0.030,0.030,ap4-wlan1,ap2-wlan1,ap2-wlan1,1696913052.2059777
15,sta2,0.5,0,-94.0,-93.0,0.024,0.032,ap2-wlan1,ap4-wlan1,ap4-wlan1,1696913067.63973
16,sta1,0.5294117647058824,0,-82.0,-90.0,0.024,0.056,ap1-wlan1,ap3-wlan1,ap3-wlan1,1696913138.568215
17,sta2,0.5555555555555556,0,-94.0,-94.0,0.030,0.045,ap4-wlan1,ap5-wlan1,ap5-wlan1,1696913345.233777
18,sta1,0.5789473684210527,0,-90.0,-90.0,0.023,0.026,ap3-wlan1,ap4-wlan1,ap4-wlan1,1696913440.6548712
19,sta1,0.55,78,-89.0,-89.0,0.025,0.037,ap4-wlan1,ap5-wlan1,ap5-wlan1,1696913456.3974805
20,sta1,0.5238095238095238,78,-88.0,-88.0,0.028,0.025,ap5-wlan1,ap4-wlan1,ap4-wlan1,1696913471.7672513
21,sta1,0.5,78,-87.0,-87.0,0.027,0.031,ap4-wlan1,ap5-wlan1,ap5-wlan1,1696913487.2712004
22,sta1,0.4782608695652174,78,-86.0,-86.0,0.025,0.021,ap5-wlan1,ap4-wlan1,ap4-wlan1,1696913502.8050277
23,sta1,0.4583333333333333,78,-85.0,-85.0,0.030,0.030,ap4-wlan1,ap5-wlan1,ap5-wlan1,1696913518.3528612
24,sta1,0.44,78,-85.0,-84.0,0.032,0.115,ap5-wlan1,ap4-wlan1,ap4-wlan1,1696913534.0998855
25,sta1,0.4230769230769231,78,-84.0,-84.0,0.022,0.024,ap4-wlan1,ap5-wlan1,ap5-wlan1,1696913549.9287722
26,sta1,0.4074074074074074,78,-84.0,-84.0,0.023,0.034,ap5-wlan1,ap4-wlan1,ap4-wlan1,1696913565.373121
