,STA,HO_failureratio,total_throughput,RSSI_current,RSSI_target,Delay_current,Delay_target,Current_AP,Target_AP,New_Associated_AP,time
0,sta1,0.0,6,-60.0,-74.0,0.026,0.043,ap1-wlan1,ap3-wlan1,ap3-wlan1,1696906474.1979365
1,sta2,0.5,0,-82.0,-90.0,0.022,0.021,ap1-wlan1,ap3-wlan1,ap3-wlan1,1696906512.2684662
2,sta2,0.3333333333333333,78,-85.0,-85.0,0.033,0.020,ap3-wlan1,ap2-wlan1,ap2-wlan1,1696906654.802709
3,sta2,0.25,78,-85.0,-85.0,0.032,0.024,ap2-wlan1,ap4-wlan1,ap4-wlan1,1696906705.9842637
4,sta1,0.4,0,-81.0,-90.0,0.030,0.029,ap1-wlan1,ap3-wlan1,ap3-wlan1,1696906787.5072432
5,sta2,0.5,0,-64.0,-90.0,0.021,0.021,ap1-wlan1,ap4-wlan1,ap4-wlan1,1696906950.391258
6,sta2,0.42857142857142855,78,-86.0,-86.0,0.022,0.024,ap4-wlan1,ap5-wlan1,ap5-wlan1,1696907021.5550842
7,sta2,0.375,78,-85.0,-85.0,0.030,0.023,ap5-wlan1,ap3-wlan1,ap3-wlan1,1696907107.7871208
8,sta1,0.4444444444444444,0,-83.0,-90.0,0.030,0.033,ap1-wlan1,ap2-wlan1,ap2-wlan1,1696907183.7888987
9,sta1,0.5,0,-93.0,-93.0,0.022,0.024,ap2-wlan1,ap3-wlan1,ap3-wlan1,1696907282.1490388
10,sta2,0.2727272727272727,78,-85.0,-85.0,0.029,0.022,ap3-wlan1,ap2-wlan1,ap2-wlan1,1696907356.5750806
11,sta2,0.5,0,-92.0,-92.0,0.026,0.035,ap2-wlan1,ap4-wlan1,ap4-wlan1,1696907475.8504858
12,sta2,0.5384615384615384,0,-93.0,-93.0,0.025,0.024,ap4-wlan1,ap2-wlan1,ap2-wlan1,1696907491.081427
13,sta2,0.5714285714285714,0,-94.0,-93.0,0.024,0.025,ap2-wlan1,ap4-wlan1,ap4-wlan1,1696907506.3721142
14,sta1,0.6,0,-82.0,-90.0,0.022,0.024,ap1-wlan1,ap3-wlan1,ap3-wlan1,1696907555.915202
15,sta2,0.625,0,-94.0,-94.0,0.028,0.027,ap4-wlan1,ap5-wlan1,ap5-wlan1,1696907686.969056
16,sta1,0.6470588235294118,0,-90.0,-90.0,0.028,0.025,ap3-wlan1,ap4-wlan1,ap4-wlan1,1696907749.9947135
17,sta1,0.6111111111111112,78,-89.0,-89.0,0.024,0.023,ap4-wlan1,ap5-wlan1,ap5-wlan1,1696907765.4625518
18,sta1,0.5789473684210527,78,-88.0,-88.0,0.023,0.021,ap5-wlan1,ap4-wlan1,ap4-wlan1,1696907780.7877936
19,sta1,0.55,78,-87.0,-87.0,0.027,0.027,ap4-wlan1,ap5-wlan1,ap5-wlan1,1696907796.1445472
20,sta1,0.5238095238095238,78,-86.0,-86.0,0.029,0.020,ap5-wlan1,ap4-wlan1,ap4-wlan1,1696907811.6389606
21,sta1,0.5,78,-86.0,-86.0,0.023,0.021,ap4-wlan1,ap5-wlan1,ap5-wlan1,1696907827.059046
22,sta1,0.4782608695652174,78,-85.0,-85.0,0.023,0.030,ap5-wlan1,ap4-wlan1,ap4-wlan1,1696907844.2360802
23,sta1,0.4583333333333333,78,-84.0,-84.0,0.024,0.027,ap4-wlan1,ap5-wlan1,ap5-wlan1,1696907860.9329214
24,sta1,0.44,78,-84.0,-84.0,0.027,0.020,ap5-wlan1,ap4-wlan1,ap4-wlan1,1696907876.2319844
25,sta1,0.4230769230769231,78,-84.0,-84.0,0.034,0.023,ap4-wlan1,ap5-wlan1,ap5-wlan1,1696907892.0629632
26,sta1,0.4074074074074074,78,-84.0,-84.0,0.030,0.030,ap5-wlan1,ap4-wlan1,ap4-wlan1,1696907907.3637128
27,sta1,0.39285714285714285,78,-85.0,-85.0,0.022,0.022,ap4-wlan1,ap5-wlan1,ap5-wlan1,1696907926.7241063
28,sta1,0.3793103448275862,78,-86.0,-85.0,0.025,0.020,ap5-wlan1,ap4-wlan1,ap4-wlan1,1696907942.0238051
29,sta1,0.36666666666666664,78,-87.0,-87.0,0.029,0.031,ap4-wlan1,ap5-wlan1,ap5-wlan1,1696907959.3191202
30,sta1,0.3548387096774194,78,-88.0,-88.0,0.036,0.020,ap5-wlan1,ap4-wlan1,ap4-wlan1,1696907974.7806969
