,STA,HO_failureratio,total_throughput,RSSI_current,RSSI_target,Delay_current,Delay_target,Current_AP,Target_AP,New_Associated_AP,time
0,sta1,0.0,6,-60.0,-73.0,0.042,0.026,ap1-wlan1,ap3-wlan1,ap3-wlan1,1696916649.1654234
1,sta2,0.5,0,-82.0,-90.0,0.091,0.031,ap1-wlan1,ap3-wlan1,ap3-wlan1,1696916674.8893375
2,sta2,0.3333333333333333,78,-85.0,-85.0,0.024,0.021,ap3-wlan1,ap2-wlan1,ap2-wlan1,1696916777.2021708
3,sta2,0.25,78,-84.0,-87.0,0.020,0.023,ap2-wlan1,ap4-wlan1,ap4-wlan1,1696916806.8910732
4,sta2,0.2,78,-85.0,-85.0,0.025,0.024,ap4-wlan1,ap2-wlan1,ap2-wlan1,1696916822.1361363
5,sta2,0.16666666666666666,78,-86.0,-82.0,0.023,0.027,ap2-wlan1,ap4-wlan1,ap4-wlan1,1696916837.4653535
6,sta1,0.2857142857142857,0,-81.0,-90.0,0.024,0.025,ap1-wlan1,ap3-wlan1,ap3-wlan1,1696916881.3660123
7,sta1,0.25,1,-96.0,-96.0,0.023,0.030,ap3-wlan1,ap1-wlan1,ap1-wlan1,1696916956.7268565
8,sta2,0.3333333333333333,0,-64.0,-90.0,0.025,0.020,ap1-wlan1,ap4-wlan1,ap4-wlan1,1696916981.9627545
9,sta2,0.3,78,-86.0,-86.0,0.022,0.021,ap4-wlan1,ap5-wlan1,ap5-wlan1,1696917025.746274
10,sta2,0.2727272727272727,78,-85.0,-85.0,0.038,0.026,ap5-wlan1,ap3-wlan1,ap3-wlan1,1696917074.6855268
11,sta1,0.3333333333333333,0,-83.0,-90.0,0.024,0.030,ap1-wlan1,ap2-wlan1,ap2-wlan1,1696917128.7905152
12,sta2,0.23076923076923078,1,-96.0,-96.0,0.038,0.027,ap3-wlan1,ap1-wlan1,ap1-wlan1,1696917176.4370594
13,sta1,0.2857142857142857,78,-84.0,-84.0,0.030,0.026,ap2-wlan1,ap4-wlan1,ap4-wlan1,1696917263.422319
14,sta1,0.26666666666666666,78,-85.0,-85.0,0.021,0.021,ap4-wlan1,ap5-wlan1,ap5-wlan1,1696917303.7068794
15,sta2,0.3125,0,-82.0,-90.0,0.025,0.026,ap1-wlan1,ap3-wlan1,ap3-wlan1,1696917337.8354037
16,sta2,0.35294117647058826,0,-91.0,-90.0,0.029,0.039,ap3-wlan1,ap5-wlan1,ap5-wlan1,1696917402.6333134
