,STA,HO_failureratio,total_throughput,RSSI_current,RSSI_target,Delay_current,Delay_target,Current_AP,Target_AP,New_Associated_AP,time
0,sta1,0.0,6,-66.0,-79.0,0.023,0.026,ap1-wlan1,ap3-wlan1,ap3-wlan1,1696947111.2718625
1,sta1,0.5,0,-77.0,-89.0,0.034,0.023,ap3-wlan1,ap5-wlan1,ap5-wlan1,1696947126.4478273
2,sta2,0.6666666666666666,0,-88.0,-96.0,0.027,0.028,ap1-wlan1,ap3-wlan1,ap3-wlan1,1696947141.6699972
3,sta1,0.25,1,-91.0,-74.0,0.023,0.024,ap5-wlan1,ap1-wlan1,ap1-wlan1,1696947156.798817
4,sta1,0.2,78,-76.0,-82.0,0.023,0.023,ap1-wlan1,ap3-wlan1,ap3-wlan1,1696947171.9257739
5,sta1,0.5,0,-84.0,-94.0,0.022,0.022,ap3-wlan1,ap5-wlan1,ap5-wlan1,1696947187.0445251
6,sta2,0.2857142857142857,1,-86.0,-84.0,0.027,0.029,ap3-wlan1,ap1-wlan1,ap1-wlan1,1696947202.1625156
7,sta2,0.25,78,-83.0,-84.0,0.023,0.022,ap1-wlan1,ap3-wlan1,ap3-wlan1,1696947217.2499666
8,sta1,0.4444444444444444,0,-81.0,-91.0,0.027,0.028,ap1-wlan1,ap3-wlan1,ap3-wlan1,1696947232.4774728
9,sta2,0.2,1,-79.0,-81.0,0.023,0.023,ap3-wlan1,ap1-wlan1,ap1-wlan1,1696947247.5958877
10,sta2,0.18181818181818182,78,-79.0,-77.0,0.032,0.018,ap1-wlan1,ap3-wlan1,ap3-wlan1,1696947262.7516313
11,sta2,0.16666666666666666,1,-76.0,-77.0,0.024,0.027,ap3-wlan1,ap1-wlan1,ap1-wlan1,1696947278.028571
12,sta2,0.38461538461538464,0,-75.0,-90.0,0.027,0.028,ap1-wlan1,ap2-wlan1,ap2-wlan1,1696947293.1411424
13,sta2,0.35714285714285715,78,-88.0,-81.0,0.023,0.024,ap2-wlan1,ap3-wlan1,ap3-wlan1,1696947308.2706368
14,sta2,0.3333333333333333,1,-85.0,-71.0,0.025,0.028,ap3-wlan1,ap1-wlan1,ap1-wlan1,1696947323.4619398
15,sta2,0.3125,78,-69.0,-84.0,0.024,0.037,ap1-wlan1,ap2-wlan1,ap2-wlan1,1696947338.5831273
16,sta2,0.35294117647058826,0,-83.0,-92.0,0.064,0.027,ap2-wlan1,ap3-wlan1,ap3-wlan1,1696947353.7499454
17,sta2,0.3333333333333333,1,-89.0,-59.0,0.023,0.022,ap3-wlan1,ap1-wlan1,ap1-wlan1,1696947368.9583507
18,sta2,0.3157894736842105,78,-63.0,-86.0,0.066,0.028,ap1-wlan1,ap2-wlan1,ap2-wlan1,1696947384.071927
19,sta2,0.3,1,-88.0,-100.0,0.035,0.023,ap2-wlan1,ap1-wlan1,ap1-wlan1,1696947399.2559128
20,sta2,0.2857142857142857,78,-62.0,-73.0,0.063,0.023,ap1-wlan1,ap4-wlan1,ap4-wlan1,1696947414.3662136
21,sta2,0.2727272727272727,1,-69.0,-63.0,0.025,0.025,ap4-wlan1,ap1-wlan1,ap1-wlan1,1696947429.5621114
22,sta2,0.30434782608695654,0,-59.0,-90.0,0.024,0.028,ap1-wlan1,ap2-wlan1,ap2-wlan1,1696947444.7229416
23,sta2,0.2916666666666667,78,-99.0,-66.0,0.031,0.026,ap2-wlan1,ap4-wlan1,ap4-wlan1,1696947459.8753366
24,sta2,0.28,1,-66.0,-63.0,0.023,0.023,ap4-wlan1,ap1-wlan1,ap1-wlan1,1696947475.0860348
25,sta2,0.2692307692307692,78,-63.0,-69.0,0.024,0.022,ap1-wlan1,ap4-wlan1,ap4-wlan1,1696947490.2043414
26,sta1,0.2962962962962963,0,-87.0,-94.0,0.034,0.029,ap1-wlan1,ap3-wlan1,ap3-wlan1,1696947505.407742
27,sta2,0.25,1,-77.0,-64.0,0.024,0.023,ap4-wlan1,ap1-wlan1,ap1-wlan1,1696947520.5277224
28,sta2,0.2413793103448276,78,-65.0,-81.0,0.023,0.024,ap1-wlan1,ap4-wlan1,ap4-wlan1,1696947535.725423
29,sta1,0.26666666666666666,1,-90.0,-86.0,0.028,0.023,ap3-wlan1,ap1-wlan1,ap1-wlan1,1696947550.8557744
30,sta1,0.25806451612903225,78,-86.0,-89.0,0.028,0.026,ap1-wlan1,ap3-wlan1,ap3-wlan1,1696947565.9640791
31,sta2,0.21875,1,-92.0,-70.0,0.022,0.022,ap4-wlan1,ap1-wlan1,ap1-wlan1,1696947581.1158748
32,sta2,0.2727272727272727,0,-71.0,-94.0,0.038,0.027,ap1-wlan1,ap4-wlan1,ap4-wlan1,1696947596.2932296
33,sta1,0.23529411764705882,1,-90.0,-85.0,0.023,0.023,ap3-wlan1,ap1-wlan1,ap1-wlan1,1696947611.4141264
34,sta1,0.2857142857142857,0,-85.0,-91.0,0.024,0.029,ap1-wlan1,ap3-wlan1,ap3-wlan1,1696947626.5210795
35,sta1,0.2777777777777778,1,-92.0,-86.0,0.024,0.031,ap3-wlan1,ap1-wlan1,ap1-wlan1,1696947641.8019083
36,sta1,0.2972972972972973,0,-86.0,-94.0,0.023,0.022,ap1-wlan1,ap3-wlan1,ap3-wlan1,1696947656.9108953
37,sta1,0.2894736842105263,1,-96.0,-86.0,0.037,0.049,ap3-wlan1,ap1-wlan1,ap1-wlan1,1696947672.214132
38,sta1,0.28205128205128205,1,-87.0,-97.0,0.023,0.034,ap3-wlan1,ap1-wlan1,ap1-wlan1,1696947687.357095
39,sta2,0.3,0,-64.0,-90.0,0.090,0.026,ap1-wlan1,ap4-wlan1,ap4-wlan1,1696947708.535486
40,sta2,0.2926829268292683,1,-89.0,-62.0,0.023,0.029,ap4-wlan1,ap1-wlan1,ap1-wlan1,1696947723.7073643
41,sta2,0.30952380952380953,0,-60.0,-87.0,0.027,0.035,ap1-wlan1,ap4-wlan1,ap4-wlan1,1696947738.884539
42,sta2,0.3023255813953488,1,-85.0,-56.0,0.029,0.024,ap4-wlan1,ap1-wlan1,ap1-wlan1,1696947754.1506023
43,sta2,0.29545454545454547,78,-52.0,-83.0,0.023,0.036,ap1-wlan1,ap4-wlan1,ap4-wlan1,1696947769.3464332
44,sta2,0.3111111111111111,0,-88.0,-91.0,0.037,0.023,ap4-wlan1,ap5-wlan1,ap5-wlan1,1696947784.5054893
45,sta2,0.30434782608695654,1,-83.0,-44.0,0.026,0.028,ap5-wlan1,ap1-wlan1,ap1-wlan1,1696947799.701659
46,sta2,0.2978723404255319,78,-40.0,-80.0,0.023,0.022,ap1-wlan1,ap4-wlan1,ap4-wlan1,1696947814.8284185
47,sta2,0.2916666666666667,78,-86.0,-84.0,0.028,0.023,ap4-wlan1,ap5-wlan1,ap5-wlan1,1696947829.9778886
48,sta2,0.2857142857142857,1,-76.0,-29.0,0.023,0.024,ap5-wlan1,ap1-wlan1,ap1-wlan1,1696947845.2898924
49,sta2,0.28,78,-30.0,-81.0,0.023,0.031,ap1-wlan1,ap4-wlan1,ap4-wlan1,1696947860.458257
50,sta2,0.27450980392156865,78,-89.0,-79.0,0.022,0.022,ap4-wlan1,ap5-wlan1,ap5-wlan1,1696947875.6102626
51,sta2,0.2692307692307692,1,-73.0,-40.0,0.029,0.024,ap5-wlan1,ap1-wlan1,ap1-wlan1,1696947890.8209398
52,sta2,0.2830188679245283,0,-47.0,-86.0,0.024,0.038,ap1-wlan1,ap3-wlan1,ap3-wlan1,1696947905.9688032
53,sta2,0.2962962962962963,0,-89.0,-94.0,0.035,0.026,ap3-wlan1,ap4-wlan1,ap4-wlan1,1696947921.1156845
54,sta2,0.2909090909090909,78,-96.0,-85.0,0.023,0.023,ap4-wlan1,ap5-wlan1,ap5-wlan1,1696947936.2310102
55,sta2,0.2857142857142857,1,-88.0,-65.0,0.023,0.024,ap5-wlan1,ap1-wlan1,ap1-wlan1,1696947951.4264207
56,sta2,0.2807017543859649,78,-67.0,-77.0,0.036,0.057,ap1-wlan1,ap3-wlan1,ap3-wlan1,1696947966.596944
57,sta2,0.29310344827586204,0,-69.0,-93.0,0.028,0.045,ap3-wlan1,ap5-wlan1,ap5-wlan1,1696947981.7713013
58,sta2,0.288135593220339,1,-95.0,-72.0,0.028,0.022,ap5-wlan1,ap1-wlan1,ap1-wlan1,1696947996.9581237
59,sta2,0.2833333333333333,78,-74.0,-47.0,0.023,0.021,ap1-wlan1,ap3-wlan1,ap3-wlan1,1696948012.1424036
60,sta2,0.2786885245901639,1,-44.0,-99.0,0.040,0.027,ap3-wlan1,ap1-wlan1,ap1-wlan1,1696948027.2913783
61,sta2,0.27419354838709675,78,-78.0,-60.0,0.028,0.026,ap1-wlan1,ap3-wlan1,ap3-wlan1,1696948042.529883
62,sta2,0.2698412698412698,1,-68.0,-80.0,0.023,0.026,ap3-wlan1,ap1-wlan1,ap1-wlan1,1696948057.6829755
63,sta2,0.265625,78,-82.0,-77.0,0.030,0.028,ap1-wlan1,ap3-wlan1,ap3-wlan1,1696948072.8020844
64,sta1,0.27692307692307694,0,-87.0,-93.0,0.025,0.028,ap1-wlan1,ap2-wlan1,ap2-wlan1,1696948088.0818377
65,sta2,0.25757575757575757,1,-88.0,-85.0,0.025,0.025,ap3-wlan1,ap1-wlan1,ap1-wlan1,1696948103.2441673
66,sta2,0.2835820895522388,0,-87.0,-93.0,0.024,0.036,ap1-wlan1,ap3-wlan1,ap3-wlan1,1696948118.3918886
67,sta1,0.2647058823529412,1,-86.0,-84.0,0.029,0.027,ap2-wlan1,ap1-wlan1,ap1-wlan1,1696948133.5029266
68,sta1,0.2608695652173913,78,-84.0,-83.0,0.024,0.028,ap1-wlan1,ap2-wlan1,ap2-wlan1,1696948148.7373257
69,sta1,0.2571428571428571,1,-80.0,-84.0,0.035,0.023,ap2-wlan1,ap1-wlan1,ap1-wlan1,1696948164.0382366
70,sta1,0.2535211267605634,78,-84.0,-80.0,0.022,0.028,ap1-wlan1,ap2-wlan1,ap2-wlan1,1696948179.1754763
71,sta1,0.25,1,-80.0,-83.0,0.023,0.029,ap2-wlan1,ap1-wlan1,ap1-wlan1,1696948194.4444187
72,sta1,0.2465753424657534,78,-84.0,-83.0,0.027,0.026,ap1-wlan1,ap2-wlan1,ap2-wlan1,1696948209.6115837
