,STA,HO_failureratio,total_throughput,RSSI_current,RSSI_target,Delay_current,Delay_target,Current_AP,Target_AP,New_Associated_AP,time
0,sta3,1.0,0,-60.0,-88.0,0.028,0.025,ap1-wlan1,ap4-wlan1,ap4-wlan1,1696950327.4868462
1,sta1,1.0,0,-75.0,-95.0,0.029,0.034,ap1-wlan1,ap3-wlan1,ap3-wlan1,1696950342.8029003
2,sta1,0.6666666666666666,39,-95.0,-83.0,0.021,0.024,ap3-wlan1,ap5-wlan1,ap5-wlan1,1696950358.114391
3,sta3,0.25,5,-87.0,-62.0,0.021,0.023,ap4-wlan1,ap1-wlan1,ap1-wlan1,1696950373.7038574
4,sta3,0.2,78,-61.0,-84.0,0.024,0.035,ap1-wlan1,ap4-wlan1,ap4-wlan1,1696950388.939539
5,sta1,0.3333333333333333,1,-70.0,-70.0,0.031,0.029,ap5-wlan1,ap1-wlan1,ap1-wlan1,1696950404.2535264
6,sta1,0.2857142857142857,78,-69.0,-66.0,0.029,0.031,ap1-wlan1,ap5-wlan1,ap5-wlan1,1696950419.5902667
7,sta2,0.0,39,-86.0,-89.0,0.030,0.026,ap1-wlan1,ap2-wlan1,ap2-wlan1,1696950435.2935047
8,sta3,0.1111111111111111,1,-67.0,-60.0,0.028,0.026,ap4-wlan1,ap1-wlan1,ap1-wlan1,1696950450.4836085
9,sta3,0.1,78,-62.0,-64.0,0.025,0.024,ap1-wlan1,ap4-wlan1,ap4-wlan1,1696950465.807434
10,sta1,0.18181818181818182,1,-75.0,-66.0,0.032,0.034,ap5-wlan1,ap1-wlan1,ap1-wlan1,1696950481.168186
11,sta1,0.16666666666666666,78,-67.0,-80.0,0.022,0.022,ap1-wlan1,ap5-wlan1,ap5-wlan1,1696950496.340311
12,sta2,0.0,1,-62.0,-80.0,0.031,0.024,ap2-wlan1,ap1-wlan1,ap1-wlan1,1696950511.776772
13,sta2,0.0,78,-78.0,-50.0,0.026,0.022,ap1-wlan1,ap2-wlan1,ap2-wlan1,1696950526.978335
14,sta3,0.06666666666666667,1,-82.0,-70.0,0.027,0.040,ap4-wlan1,ap1-wlan1,ap1-wlan1,1696950542.1505497
15,sta3,0.1875,0,-72.0,-94.0,0.024,0.026,ap1-wlan1,ap2-wlan1,ap2-wlan1,1696950557.4352775
16,sta3,0.23529411764705882,0,-93.0,-89.0,0.024,0.023,ap2-wlan1,ap4-wlan1,ap4-wlan1,1696950572.6287754
