,STA,HO_failureratio,total_throughput,RSSI_current,RSSI_target,Delay_current,Delay_target,Current_AP,Target_AP,New_Associated_AP,time
0,sta3,1.0,0,-60.0,-88.0,0.024,0.025,ap1-wlan1,ap4-wlan1,ap4-wlan1,1696953610.9563284
1,sta1,0.0,39,-69.0,-80.0,0.040,0.031,ap1-wlan1,ap5-wlan1,ap5-wlan1,1696953626.2964075
2,sta2,0.6666666666666666,0,-83.0,-90.0,0.024,0.024,ap1-wlan1,ap2-wlan1,ap2-wlan1,1696953659.1278615
3,sta3,0.75,0,-92.0,-92.0,0.027,0.028,ap4-wlan1,ap2-wlan1,ap2-wlan1,1696953789.7421596
4,sta2,0.4,78,-85.0,-85.0,0.024,0.023,ap2-wlan1,ap4-wlan1,ap4-wlan1,1696953822.0956097
5,sta1,0.6666666666666666,0,-63.0,-90.0,0.028,0.029,ap1-wlan1,ap4-wlan1,ap4-wlan1,1696953837.539205
6,sta4,0.7142857142857143,0,-75.0,-90.0,0.028,0.031,ap1-wlan1,ap5-wlan1,ap5-wlan1,1696953900.5493479
7,sta2,0.25,78,-84.0,-84.0,0.025,0.024,ap4-wlan1,ap5-wlan1,ap5-wlan1,1696953916.9828396
8,sta4,0.6666666666666666,0,-89.0,-89.0,0.031,0.023,ap5-wlan1,ap4-wlan1,ap4-wlan1,1696954075.0153074
9,sta3,0.7,0,-82.0,-90.0,0.024,0.025,ap1-wlan1,ap3-wlan1,ap3-wlan1,1696954127.4554782
10,sta3,0.6363636363636364,1,-96.0,-96.0,0.024,0.025,ap3-wlan1,ap1-wlan1,ap1-wlan1,1696954183.0420187
11,sta1,0.6666666666666666,0,-68.0,-90.0,0.023,0.024,ap1-wlan1,ap4-wlan1,ap4-wlan1,1696954207.0376952
12,sta4,0.46153846153846156,78,-85.0,-84.0,0.027,0.021,ap4-wlan1,ap5-wlan1,ap5-wlan1,1696954223.5184767
13,sta2,0.6428571428571429,0,-65.0,-90.0,0.028,0.080,ap1-wlan1,ap4-wlan1,ap4-wlan1,1696954238.8574014
14,sta4,0.4,78,-87.0,-87.0,0.024,0.024,ap5-wlan1,ap3-wlan1,ap3-wlan1,1696954275.66482
15,sta2,0.625,0,-72.0,-90.0,0.028,0.029,ap1-wlan1,ap4-wlan1,ap4-wlan1,1696954378.721083
16,sta1,0.6470588235294118,0,-70.0,-90.0,0.036,0.024,ap1-wlan1,ap4-wlan1,ap4-wlan1,1696954449.4598901
17,sta4,0.3333333333333333,78,-90.0,-86.0,0.026,0.031,ap3-wlan1,ap5-wlan1,ap5-wlan1,1696954464.660755
18,sta3,0.631578947368421,0,-76.0,-90.0,0.031,0.027,ap1-wlan1,ap5-wlan1,ap5-wlan1,1696954487.8339903
19,sta2,0.65,0,-91.0,-91.0,0.022,0.023,ap4-wlan1,ap5-wlan1,ap5-wlan1,1696954522.9798477
20,sta1,0.5238095238095238,78,-85.0,-84.0,0.029,0.026,ap4-wlan1,ap5-wlan1,ap5-wlan1,1696954589.394689
21,sta1,0.5,78,-87.0,-87.0,0.023,0.025,ap5-wlan1,ap3-wlan1,ap3-wlan1,1696954692.26219
22,sta2,0.6086956521739131,0,-70.0,-90.0,0.030,0.033,ap1-wlan1,ap5-wlan1,ap5-wlan1,1696954771.3350856
23,sta3,0.625,0,-65.0,-90.0,0.023,0.118,ap1-wlan1,ap5-wlan1,ap5-wlan1,1696954866.5637064
24,sta4,0.64,0,-76.0,-90.0,0.030,0.056,ap1-wlan1,ap5-wlan1,ap5-wlan1,1696954905.07768
25,sta3,0.6538461538461539,0,-92.0,-91.0,0.025,0.024,ap5-wlan1,ap4-wlan1,ap4-wlan1,1696954920.4958575
26,sta2,0.6666666666666666,0,-76.0,-90.0,0.032,0.031,ap1-wlan1,ap5-wlan1,ap5-wlan1,1696955036.4918964
27,sta3,0.6071428571428571,78,-84.0,-83.0,0.024,0.025,ap4-wlan1,ap2-wlan1,ap2-wlan1,1696955051.7382572
28,sta4,0.5517241379310345,78,-88.0,-85.0,0.028,0.028,ap5-wlan1,ap3-wlan1,ap3-wlan1,1696955067.0780668
29,sta1,0.6333333333333333,0,-76.0,-90.0,0.035,0.028,ap1-wlan1,ap5-wlan1,ap5-wlan1,1696955181.992179
30,sta2,0.5806451612903226,78,-85.0,-84.0,0.024,0.029,ap5-wlan1,ap4-wlan1,ap4-wlan1,1696955227.6041117
31,sta4,0.625,0,-80.0,-90.0,0.025,0.022,ap1-wlan1,ap3-wlan1,ap3-wlan1,1696955304.1558597
32,sta3,0.6363636363636364,0,-82.0,-89.0,0.028,0.030,ap1-wlan1,ap2-wlan1,ap2-wlan1,1696955319.72594
33,sta4,0.6470588235294118,0,-94.0,-93.0,0.023,0.024,ap3-wlan1,ap2-wlan1,ap2-wlan1,1696955335.040854
34,sta1,0.6571428571428571,0,-96.0,-95.0,0.035,0.071,ap5-wlan1,ap3-wlan1,ap3-wlan1,1696955350.6772056
35,sta4,0.6111111111111112,78,-84.0,-84.0,0.024,0.023,ap2-wlan1,ap4-wlan1,ap4-wlan1,1696955474.1295269
36,sta2,0.6486486486486487,0,-71.0,-90.0,0.025,0.025,ap1-wlan1,ap4-wlan1,ap4-wlan1,1696955554.5105314
37,sta1,0.6578947368421053,0,-82.0,-90.0,0.030,0.033,ap1-wlan1,ap3-wlan1,ap3-wlan1,1696955573.608185
38,sta3,0.5384615384615384,78,-85.0,-85.0,0.024,0.028,ap2-wlan1,ap4-wlan1,ap4-wlan1,1696955624.4975753
39,sta3,0.525,78,-88.0,-88.0,0.039,0.029,ap4-wlan1,ap5-wlan1,ap5-wlan1,1696955677.8752394
40,sta1,0.6097560975609756,78,-88.0,-88.0,0.023,0.023,ap3-wlan1,ap5-wlan1,ap5-wlan1,1696955716.8810568
41,sta4,0.6190476190476191,0,-68.0,-90.0,0.026,0.028,ap1-wlan1,ap4-wlan1,ap4-wlan1,1696955732.197757
42,sta2,0.5581395348837209,78,-88.0,-79.0,0.031,0.047,ap4-wlan1,ap2-wlan1,ap2-wlan1,1696955747.559776
43,sta2,0.6136363636363636,0,-93.0,-93.0,0.025,0.029,ap2-wlan1,ap3-wlan1,ap3-wlan1,1696955885.0901575
44,sta3,0.6222222222222222,0,-76.0,-90.0,0.033,0.034,ap1-wlan1,ap5-wlan1,ap5-wlan1,1696955900.3515983
45,sta4,0.5652173913043478,39,-86.0,-86.0,0.030,0.028,ap4-wlan1,ap2-wlan1,ap2-wlan1,1696955916.3765633
46,sta4,0.5531914893617021,78,-88.0,-88.0,0.024,0.026,ap2-wlan1,ap3-wlan1,ap3-wlan1,1696956003.813219
47,sta4,0.6041666666666666,0,-90.0,-90.0,0.032,0.028,ap3-wlan1,ap2-wlan1,ap2-wlan1,1696956019.5787773
48,sta4,0.6122448979591837,0,-92.0,-91.0,0.022,0.026,ap2-wlan1,ap3-wlan1,ap3-wlan1,1696956035.2584004
49,sta3,0.56,1,-96.0,-96.0,0.728,0.024,ap5-wlan1,ap1-wlan1,ap1-wlan1,1696956081.0266535
50,sta3,0.6078431372549019,0,-62.0,-90.0,0.023,0.040,ap1-wlan1,ap4-wlan1,ap4-wlan1,1696956096.706535
51,sta1,0.6153846153846154,0,-76.0,-90.0,0.024,0.058,ap1-wlan1,ap5-wlan1,ap5-wlan1,1696956179.1279507
52,sta4,0.6226415094339622,0,-80.0,-90.0,0.024,0.024,ap1-wlan1,ap3-wlan1,ap3-wlan1,1696956217.4877381
53,sta4,0.6296296296296297,0,-95.0,-95.0,0.035,0.028,ap3-wlan1,ap2-wlan1,ap2-wlan1,1696956233.1964228
54,sta2,0.6363636363636364,0,-82.0,-90.0,0.031,0.023,ap1-wlan1,ap3-wlan1,ap3-wlan1,1696956331.9410465
55,sta1,0.5714285714285714,78,-89.0,-89.0,0.024,0.029,ap5-wlan1,ap4-wlan1,ap4-wlan1,1696956362.2345314
56,sta4,0.5964912280701754,78,-89.0,-88.0,0.036,0.024,ap2-wlan1,ap4-wlan1,ap4-wlan1,1696956377.540669
57,sta1,0.5517241379310345,78,-84.0,-84.0,0.025,0.023,ap4-wlan1,ap2-wlan1,ap2-wlan1,1696956439.7836328
58,sta2,0.6101694915254238,0,-91.0,-91.0,0.028,0.029,ap3-wlan1,ap2-wlan1,ap2-wlan1,1696956467.4008207
59,sta4,0.6166666666666667,0,-93.0,-93.0,0.047,0.026,ap4-wlan1,ap5-wlan1,ap5-wlan1,1696956516.5338354
60,sta4,0.6229508196721312,0,-95.0,-95.0,0.024,0.020,ap5-wlan1,ap4-wlan1,ap4-wlan1,1696956532.1743152
61,sta2,0.6290322580645161,0,-83.0,-90.0,0.025,0.025,ap1-wlan1,ap2-wlan1,ap2-wlan1,1696956622.4075446
62,sta1,0.5079365079365079,78,-88.0,-89.0,0.029,0.030,ap2-wlan1,ap3-wlan1,ap3-wlan1,1696956647.294561
63,sta4,0.625,0,-62.0,-90.0,0.028,0.026,ap1-wlan1,ap5-wlan1,ap5-wlan1,1696956662.4844828
64,sta3,0.6307692307692307,0,-71.0,-88.0,0.822,0.031,ap1-wlan1,ap4-wlan1,ap4-wlan1,1696956677.9977791
65,sta2,0.6363636363636364,0,-83.0,-90.0,0.028,0.031,ap1-wlan1,ap2-wlan1,ap2-wlan1,1696956736.2130823
66,sta3,0.6119402985074627,78,-85.0,-85.0,0.023,0.024,ap4-wlan1,ap5-wlan1,ap5-wlan1,1696956824.0283191
67,sta4,0.5882352941176471,1,-96.0,-96.0,0.028,0.030,ap5-wlan1,ap1-wlan1,ap1-wlan1,1696956882.409574
68,sta2,0.6086956521739131,78,-86.0,-83.0,0.026,0.025,ap2-wlan1,ap4-wlan1,ap4-wlan1,1696956897.673493
69,sta3,0.5857142857142857,78,-86.0,-86.0,0.034,0.030,ap5-wlan1,ap3-wlan1,ap3-wlan1,1696956919.050452
