,STA,HO_failureratio,total_throughput,RSSI_current,RSSI_target,Delay_current,Delay_target,Current_AP,Target_AP,New_Associated_AP,time
0,sta3,1.0,0,-61.0,-88.0,0.074,0.025,ap1-wlan1,ap4-wlan1,ap4-wlan1,1696959171.429753
1,sta1,1.0,0,-76.0,-94.0,0.025,0.033,ap1-wlan1,ap3-wlan1,ap3-wlan1,1696959186.751477
2,sta1,0.6666666666666666,39,-95.0,-86.0,0.046,0.029,ap3-wlan1,ap5-wlan1,ap5-wlan1,1696959202.0292513
3,sta3,0.25,12,-85.0,-58.0,0.028,0.028,ap4-wlan1,ap1-wlan1,ap1-wlan1,1696959217.5754972
4,sta3,0.6,0,-58.0,-84.0,0.028,0.028,ap1-wlan1,ap4-wlan1,ap4-wlan1,1696959232.8538518
5,sta1,0.3333333333333333,1,-81.0,-73.0,0.026,0.024,ap5-wlan1,ap1-wlan1,ap1-wlan1,1696959248.095232
6,sta1,0.2857142857142857,1,-73.0,-96.0,0.023,0.029,ap3-wlan1,ap1-wlan1,ap1-wlan1,1696959263.477187
7,sta1,0.25,78,-72.0,-77.0,0.021,0.030,ap1-wlan1,ap5-wlan1,ap5-wlan1,1696959278.7255523
8,sta3,0.3333333333333333,1,-86.0,-61.0,0.028,0.024,ap4-wlan1,ap1-wlan1,ap1-wlan1,1696959294.4754035
9,sta3,0.3,78,-61.0,-85.0,0.032,0.032,ap1-wlan1,ap4-wlan1,ap4-wlan1,1696959309.7383673
10,sta1,0.18181818181818182,1,-71.0,-70.0,0.031,0.031,ap5-wlan1,ap1-wlan1,ap1-wlan1,1696959324.9374187
11,sta1,0.16666666666666666,78,-70.0,-69.0,0.033,0.031,ap1-wlan1,ap5-wlan1,ap5-wlan1,1696959340.1625705
12,sta2,0.3076923076923077,0,-88.0,-94.0,0.037,0.023,ap1-wlan1,ap2-wlan1,ap2-wlan1,1696959355.4459252
13,sta3,0.21428571428571427,1,-80.0,-60.0,0.024,0.022,ap4-wlan1,ap1-wlan1,ap1-wlan1,1696959370.6814706
14,sta3,0.2,78,-59.0,-78.0,0.031,0.046,ap1-wlan1,ap4-wlan1,ap4-wlan1,1696959385.893474
15,sta1,0.125,1,-62.0,-68.0,0.026,0.028,ap5-wlan1,ap1-wlan1,ap1-wlan1,1696959401.1490111
16,sta1,0.11764705882352941,78,-67.0,-64.0,0.036,0.028,ap1-wlan1,ap5-wlan1,ap5-wlan1,1696959416.3889637
17,sta2,0.2222222222222222,1,-88.0,-86.0,0.023,0.030,ap2-wlan1,ap1-wlan1,ap1-wlan1,1696959431.7611814
18,sta2,0.21052631578947367,78,-86.0,-87.0,0.024,0.023,ap1-wlan1,ap2-wlan1,ap2-wlan1,1696959447.0424116
19,sta3,0.15,1,-67.0,-60.0,0.025,0.023,ap4-wlan1,ap1-wlan1,ap1-wlan1,1696959462.2060888
20,sta3,0.14285714285714285,78,-61.0,-65.0,0.021,0.022,ap1-wlan1,ap4-wlan1,ap4-wlan1,1696959477.402231
21,sta1,0.09090909090909091,1,-77.0,-66.0,0.023,0.026,ap5-wlan1,ap1-wlan1,ap1-wlan1,1696959492.587057
22,sta1,0.08695652173913043,78,-67.0,-79.0,0.027,0.021,ap1-wlan1,ap5-wlan1,ap5-wlan1,1696959507.8491309
23,sta2,0.16666666666666666,1,-77.0,-83.0,0.041,0.026,ap2-wlan1,ap1-wlan1,ap1-wlan1,1696959523.1565328
24,sta2,0.16,78,-82.0,-74.0,0.022,0.027,ap1-wlan1,ap2-wlan1,ap2-wlan1,1696959538.3888276
25,sta3,0.11538461538461539,1,-67.0,-64.0,0.024,0.027,ap4-wlan1,ap1-wlan1,ap1-wlan1,1696959553.5844018
26,sta3,0.1111111111111111,78,-65.0,-68.0,0.028,0.030,ap1-wlan1,ap4-wlan1,ap4-wlan1,1696959568.803456
27,sta1,0.07142857142857142,1,-89.0,-68.0,0.023,0.025,ap5-wlan1,ap1-wlan1,ap1-wlan1,1696959583.9691257
28,sta1,0.1724137931034483,0,-69.0,-90.0,0.030,0.020,ap1-wlan1,ap5-wlan1,ap5-wlan1,1696959599.1906772
29,sta2,0.13333333333333333,1,-56.0,-79.0,0.024,0.028,ap2-wlan1,ap1-wlan1,ap1-wlan1,1696959614.5641353
30,sta2,0.12903225806451613,78,-78.0,-49.0,0.026,0.025,ap1-wlan1,ap2-wlan1,ap2-wlan1,1696959629.7251036
31,sta3,0.09375,1,-79.0,-69.0,0.021,0.021,ap4-wlan1,ap1-wlan1,ap1-wlan1,1696959644.9108257
32,sta3,0.18181818181818182,0,-64.0,-89.0,0.072,0.022,ap1-wlan1,ap2-wlan1,ap2-wlan1,1696959660.1118233
33,sta3,0.17647058823529413,78,-95.0,-83.0,0.022,0.030,ap2-wlan1,ap4-wlan1,ap4-wlan1,1696959675.3890731
34,sta2,0.11428571428571428,1,-51.0,-75.0,0.029,0.024,ap2-wlan1,ap1-wlan1,ap1-wlan1,1696959690.9694803
35,sta2,0.1111111111111111,78,-74.0,-58.0,0.032,0.022,ap1-wlan1,ap2-wlan1,ap2-wlan1,1696959706.2514062
36,sta2,0.1891891891891892,0,-63.0,-94.0,0.025,0.022,ap2-wlan1,ap4-wlan1,ap4-wlan1,1696959721.5086553
37,sta3,0.15789473684210525,1,-89.0,-74.0,0.023,0.024,ap4-wlan1,ap1-wlan1,ap1-wlan1,1696959736.7475948
38,sta3,0.20512820512820512,0,-75.0,-93.0,0.028,0.029,ap1-wlan1,ap2-wlan1,ap2-wlan1,1696959751.969343
39,sta3,0.225,0,-92.0,-91.0,0.022,0.020,ap2-wlan1,ap4-wlan1,ap4-wlan1,1696959767.113112
40,sta2,0.17073170731707318,1,-91.0,-69.0,0.029,0.023,ap4-wlan1,ap1-wlan1,ap1-wlan1,1696959782.6263373
41,sta2,0.16666666666666666,78,-68.0,-77.0,0.045,0.027,ap1-wlan1,ap2-wlan1,ap2-wlan1,1696959797.8682828
42,sta2,0.16279069767441862,78,-79.0,-88.0,0.033,0.027,ap2-wlan1,ap4-wlan1,ap4-wlan1,1696959813.0754187
43,sta3,0.20454545454545456,1,-95.0,-78.0,0.024,0.023,ap4-wlan1,ap1-wlan1,ap1-wlan1,1696959828.2510464
44,sta3,0.2222222222222222,0,-78.0,-92.0,0.023,0.024,ap1-wlan1,ap2-wlan1,ap2-wlan1,1696959843.4011445
45,sta3,0.21739130434782608,1,-92.0,-96.0,0.025,0.020,ap2-wlan1,ap1-wlan1,ap1-wlan1,1696959858.6876047
46,sta1,0.23404255319148937,0,-62.0,-87.0,0.030,0.029,ap1-wlan1,ap4-wlan1,ap4-wlan1,1696959874.0077734
47,sta2,0.14583333333333334,1,-83.0,-61.0,0.029,0.028,ap4-wlan1,ap1-wlan1,ap1-wlan1,1696959889.3502686
48,sta2,0.24489795918367346,0,-54.0,-83.0,0.024,0.020,ap1-wlan1,ap2-wlan1,ap2-wlan1,1696959904.5845168
49,sta2,0.24,78,-90.0,-81.0,0.024,0.020,ap2-wlan1,ap4-wlan1,ap4-wlan1,1696959919.8061748
50,sta3,0.19607843137254902,78,-79.0,-88.0,0.031,0.031,ap1-wlan1,ap2-wlan1,ap2-wlan1,1696959935.1495972
51,sta1,0.21153846153846154,1,-90.0,-68.0,0.020,0.022,ap4-wlan1,ap1-wlan1,ap1-wlan1,1696959950.369536
52,sta1,0.20754716981132076,78,-69.0,-89.0,0.028,0.026,ap1-wlan1,ap4-wlan1,ap4-wlan1,1696959965.6035478
53,sta2,0.2222222222222222,1,-72.0,-44.0,0.025,0.023,ap4-wlan1,ap1-wlan1,ap1-wlan1,1696959980.912614
54,sta2,0.23636363636363636,0,-41.0,-90.0,0.022,0.021,ap1-wlan1,ap2-wlan1,ap2-wlan1,1696959996.0725536
55,sta2,0.23214285714285715,78,-97.0,-77.0,0.027,0.029,ap2-wlan1,ap4-wlan1,ap4-wlan1,1696960011.2703528
56,sta2,0.24561403508771928,0,-77.0,-92.0,0.024,0.024,ap4-wlan1,ap5-wlan1,ap5-wlan1,1696960026.5405633
57,sta3,0.1724137931034483,1,-77.0,-79.0,0.023,0.026,ap2-wlan1,ap1-wlan1,ap1-wlan1,1696960041.8014264
58,sta3,0.1694915254237288,78,-79.0,-75.0,0.027,0.056,ap1-wlan1,ap2-wlan1,ap2-wlan1,1696960057.0555165
59,sta1,0.18333333333333332,1,-89.0,-72.0,0.021,0.035,ap4-wlan1,ap1-wlan1,ap1-wlan1,1696960072.275483
60,sta1,0.18032786885245902,78,-73.0,-90.0,0.020,0.032,ap1-wlan1,ap4-wlan1,ap4-wlan1,1696960087.4918175
61,sta4,0.24193548387096775,0,-81.0,-96.0,0.039,0.027,ap1-wlan1,ap5-wlan1,ap5-wlan1,1696960102.7727287
62,sta2,0.2222222222222222,24,-80.0,5.0,0.024,0.023,ap5-wlan1,ap1-wlan1,ap1-wlan1,1696960117.9796772
63,sta2,0.21875,78,-6.0,-76.0,0.023,0.024,ap1-wlan1,ap4-wlan1,ap4-wlan1,1696960133.198663
64,sta2,0.2153846153846154,78,-83.0,-85.0,0.028,0.023,ap4-wlan1,ap5-wlan1,ap5-wlan1,1696960148.5099952
65,sta3,0.15151515151515152,1,-61.0,-80.0,0.022,0.021,ap2-wlan1,ap1-wlan1,ap1-wlan1,1696960163.701157
66,sta3,0.14925373134328357,78,-80.0,-61.0,0.025,0.021,ap1-wlan1,ap2-wlan1,ap2-wlan1,1696960178.87825
67,sta1,0.16176470588235295,1,-93.0,-77.0,0.022,0.023,ap4-wlan1,ap1-wlan1,ap1-wlan1,1696960194.0816126
68,sta1,0.2318840579710145,0,-77.0,-94.0,0.029,0.021,ap1-wlan1,ap4-wlan1,ap4-wlan1,1696960209.3355446
69,sta4,0.21428571428571427,1,-86.0,-76.0,0.032,0.022,ap5-wlan1,ap1-wlan1,ap1-wlan1,1696960224.515699
70,sta4,0.23943661971830985,0,-75.0,-95.0,0.028,0.026,ap1-wlan1,ap3-wlan1,ap3-wlan1,1696960239.7044067
71,sta4,0.2361111111111111,78,-95.0,-83.0,0.026,0.027,ap3-wlan1,ap5-wlan1,ap5-wlan1,1696960254.9217246
72,sta2,0.1917808219178082,1,-76.0,-48.0,0.025,0.028,ap5-wlan1,ap1-wlan1,ap1-wlan1,1696960270.0972645
73,sta2,0.24324324324324326,0,-50.0,-87.0,0.026,0.022,ap1-wlan1,ap4-wlan1,ap4-wlan1,1696960285.372656
74,sta2,0.24,78,-94.0,-83.0,0.024,0.027,ap4-wlan1,ap5-wlan1,ap5-wlan1,1696960300.54991
75,sta3,0.13157894736842105,1,-78.0,-82.0,0.021,0.022,ap2-wlan1,ap1-wlan1,ap1-wlan1,1696960315.800615
76,sta3,0.12987012987012986,78,-82.0,-80.0,0.024,0.028,ap1-wlan1,ap2-wlan1,ap2-wlan1,1696960330.9663467
77,sta1,0.20512820512820512,1,-87.0,-73.0,0.037,0.021,ap4-wlan1,ap1-wlan1,ap1-wlan1,1696960346.1948686
78,sta1,0.20253164556962025,78,-72.0,-85.0,0.023,0.024,ap1-wlan1,ap4-wlan1,ap4-wlan1,1696960361.4427621
79,sta4,0.2125,1,-57.0,-66.0,0.028,0.024,ap5-wlan1,ap1-wlan1,ap1-wlan1,1696960376.6437588
80,sta4,0.20987654320987653,78,-65.0,-49.0,0.024,0.024,ap1-wlan1,ap5-wlan1,ap5-wlan1,1696960391.8263924
81,sta2,0.21951219512195122,1,-89.0,-68.0,0.038,0.024,ap5-wlan1,ap1-wlan1,ap1-wlan1,1696960407.1062462
82,sta2,0.2289156626506024,0,-70.0,-90.0,0.032,0.020,ap1-wlan1,ap5-wlan1,ap5-wlan1,1696960422.3089223
83,sta3,0.11904761904761904,1,-91.0,-84.0,0.050,0.025,ap2-wlan1,ap1-wlan1,ap1-wlan1,1696960437.520159
84,sta3,0.23529411764705882,0,-85.0,-92.0,0.030,0.027,ap1-wlan1,ap2-wlan1,ap2-wlan1,1696960452.7173615
85,sta1,0.18604651162790697,1,-67.0,-62.0,0.031,0.027,ap4-wlan1,ap1-wlan1,ap1-wlan1,1696960468.0321531
86,sta1,0.1839080459770115,78,-60.0,-62.0,0.027,0.026,ap1-wlan1,ap4-wlan1,ap4-wlan1,1696960483.2964234
87,sta4,0.19318181818181818,1,-64.0,-57.0,0.030,0.028,ap5-wlan1,ap1-wlan1,ap1-wlan1,1696960498.4834964
88,sta4,0.23595505617977527,0,-50.0,-89.0,0.025,0.022,ap1-wlan1,ap4-wlan1,ap4-wlan1,1696960513.6922698
89,sta4,0.23333333333333334,78,-94.0,-71.0,0.024,0.020,ap4-wlan1,ap5-wlan1,ap5-wlan1,1696960528.8591883
90,sta1,0.17582417582417584,1,-51.0,-50.0,0.024,0.028,ap4-wlan1,ap1-wlan1,ap1-wlan1,1696960544.3238232
91,sta1,0.17391304347826086,78,-47.0,-56.0,0.034,0.022,ap1-wlan1,ap4-wlan1,ap4-wlan1,1696960559.5734496
92,sta4,0.22580645161290322,1,-74.0,-46.0,0.027,0.022,ap5-wlan1,ap1-wlan1,ap1-wlan1,1696960574.8002436
93,sta4,0.23404255319148937,0,-46.0,-85.0,0.029,0.027,ap1-wlan1,ap4-wlan1,ap4-wlan1,1696960590.0090132
94,sta4,0.23157894736842105,78,-91.0,-84.0,0.022,0.053,ap4-wlan1,ap5-wlan1,ap5-wlan1,1696960605.3488917
95,sta1,0.16666666666666666,1,-66.0,-24.0,0.023,0.021,ap4-wlan1,ap1-wlan1,ap1-wlan1,1696960620.758219
