,STA,HO_failureratio,total_throughput,RSSI_current,RSSI_target,Delay_current,Delay_target,Current_AP,Target_AP,New_Associated_AP,time
0,sta3,1.0,0,-61.0,-88.0,0.026,0.033,ap1-wlan1,ap4-wlan1,ap4-wlan1,1696957085.4623833
1,sta1,0.0,39,-70.0,-81.0,0.025,0.029,ap1-wlan1,ap5-wlan1,ap5-wlan1,1696957100.7418578
2,sta2,0.6666666666666666,0,-83.0,-90.0,0.023,0.023,ap1-wlan1,ap2-wlan1,ap2-wlan1,1696957172.7235985
3,sta3,0.75,0,-92.0,-92.0,0.069,0.024,ap4-wlan1,ap2-wlan1,ap2-wlan1,1696957473.9783387
4,sta1,0.8,0,-63.0,-90.0,0.036,0.029,ap1-wlan1,ap4-wlan1,ap4-wlan1,1696957490.3270957
5,sta2,0.3333333333333333,78,-85.0,-85.0,0.028,0.026,ap2-wlan1,ap4-wlan1,ap4-wlan1,1696957535.231654
6,sta4,0.7142857142857143,0,-75.0,-90.0,0.023,0.022,ap1-wlan1,ap5-wlan1,ap5-wlan1,1696957682.0911627
7,sta2,0.25,78,-84.0,-84.0,0.029,0.028,ap4-wlan1,ap5-wlan1,ap5-wlan1,1696957726.825301
8,sta4,0.6666666666666666,0,-89.0,-89.0,0.025,0.025,ap5-wlan1,ap4-wlan1,ap4-wlan1,1696958059.869361
9,sta3,0.7,0,-80.0,-90.0,0.025,0.023,ap1-wlan1,ap3-wlan1,ap3-wlan1,1696958082.6243124
10,sta1,0.36363636363636365,78,-85.0,-85.0,0.028,0.035,ap4-wlan1,ap5-wlan1,ap5-wlan1,1696958100.6377301
11,sta1,0.3333333333333333,78,-85.0,-85.0,0.028,0.029,ap5-wlan1,ap3-wlan1,ap3-wlan1,1696958257.989288
12,sta4,0.46153846153846156,78,-84.0,-84.0,0.031,0.024,ap4-wlan1,ap5-wlan1,ap5-wlan1,1696958344.279514
13,sta2,0.5714285714285714,0,-65.0,-90.0,0.028,0.030,ap1-wlan1,ap4-wlan1,ap4-wlan1,1696958388.885626
14,sta1,0.26666666666666666,1,-96.0,-96.0,0.029,0.030,ap3-wlan1,ap1-wlan1,ap1-wlan1,1696958438.4898963
15,sta4,0.375,78,-87.0,-86.0,0.026,0.035,ap5-wlan1,ap3-wlan1,ap3-wlan1,1696958453.7645602
16,sta3,0.4117647058823529,78,-88.0,-88.0,0.034,0.033,ap3-wlan1,ap5-wlan1,ap5-wlan1,1696958480.794209
17,sta1,0.5,0,-78.0,-90.0,0.024,0.024,ap1-wlan1,ap3-wlan1,ap3-wlan1,1696958529.5140843
18,sta2,0.42105263157894735,1,-96.0,-96.0,0.026,0.044,ap4-wlan1,ap1-wlan1,ap1-wlan1,1696958602.0809724
19,sta1,0.5,0,-92.0,-92.0,0.025,0.022,ap3-wlan1,ap5-wlan1,ap5-wlan1,1696958617.6085029
20,sta1,0.5238095238095238,0,-91.0,-91.0,0.025,0.028,ap5-wlan1,ap3-wlan1,ap3-wlan1,1696958633.2511556
21,sta1,0.5,78,-91.0,-89.0,0.024,0.029,ap3-wlan1,ap5-wlan1,ap5-wlan1,1696958649.0253592
22,sta2,0.5217391304347826,0,-72.0,-90.0,0.023,0.033,ap1-wlan1,ap4-wlan1,ap4-wlan1,1696958709.8855467
23,sta4,0.25,78,-88.0,-88.0,0.107,0.030,ap3-wlan1,ap5-wlan1,ap5-wlan1,1696958854.9530687
24,sta1,0.44,78,-87.0,-87.0,0.024,0.030,ap5-wlan1,ap4-wlan1,ap4-wlan1,1696958905.0427704
