,STA,HO_failureratio,total_throughput,RSSI_current,RSSI_target,Delay_current,Delay_target,Current_AP,Target_AP,New_Associated_AP,time
0,sta3,0.0,6,-66.0,-57.0,0.039,0.022,ap1-wlan1,ap4-wlan1,ap4-wlan1,1705639559.3651738
1,sta1,0.0,1,-79.0,-79.0,0.022,0.022,ap5-wlan1,ap1-wlan1,ap1-wlan1,1705639605.3607926
2,sta2,0.0,6,-76.0,-69.0,0.026,0.026,ap2-wlan1,ap4-wlan1,ap4-wlan1,1705639632.7365065
3,sta1,0.0,6,-72.0,-68.0,0.029,0.025,ap1-wlan1,ap4-wlan1,ap4-wlan1,1705639660.1886692
4,sta4,0.0,39,-75.0,-67.0,0.042,0.041,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705639681.4950511
5,sta2,0.0,6,-79.0,-72.0,0.034,0.026,ap4-wlan1,ap5-wlan1,ap5-wlan1,1705639702.824609
6,sta4,0.0,6,-74.0,-71.0,0.025,0.028,ap4-wlan1,ap5-wlan1,ap5-wlan1,1705639789.8789802
7,sta2,0.0,6,-73.0,-71.0,0.024,0.03,ap1-wlan1,ap4-wlan1,ap4-wlan1,1705639811.1112485
8,sta3,0.0,39,-79.0,-73.0,0.024,0.023,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705639881.6711133
9,sta1,0.0,6,-65.0,-64.0,0.051,0.03,ap1-wlan1,ap4-wlan1,ap4-wlan1,1705639902.9665616
10,sta1,0.0,6,-77.0,-64.0,0.02,0.019,ap4-wlan1,ap5-wlan1,ap5-wlan1,1705639942.8849473
11,sta1,0.0,6,-78.0,-74.0,0.024,0.03,ap5-wlan1,ap3-wlan1,ap3-wlan1,1705639982.6858475
12,sta2,0.0,1,-79.0,-79.0,0.028,0.028,ap5-wlan1,ap1-wlan1,ap1-wlan1,1705640034.8038774
13,sta3,0.0,6,-69.0,-71.0,0.03,0.035,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705640058.1476119
14,sta4,0.0,39,-76.0,-67.0,0.024,0.027,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705640085.6487243
15,sta2,0.0,6,-77.0,-68.0,0.038,0.029,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705640131.709037
16,sta3,0.0,6,-80.0,-61.0,0.022,0.025,ap4-wlan1,ap2-wlan1,ap2-wlan1,1705640152.8633015
17,sta1,0.0,6,-78.0,-71.0,0.022,0.021,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705640198.6487787
18,sta4,0.0,6,-79.0,-67.0,0.029,0.035,ap1-wlan1,ap2-wlan1,ap2-wlan1,1705640244.4553173
19,sta3,0.0,39,-77.0,-60.0,0.028,0.022,ap1-wlan1,ap2-wlan1,ap2-wlan1,1705640271.7732284
20,sta2,0.0,39,-74.0,-70.0,0.029,0.028,ap1-wlan1,ap4-wlan1,ap4-wlan1,1705640330.0471265
21,sta1,0.0,6,-80.0,-67.0,0.044,0.049,ap1-wlan1,ap3-wlan1,ap3-wlan1,1705640357.4344954
22,sta1,0.0,6,-75.0,-72.0,0.045,0.023,ap3-wlan1,ap5-wlan1,ap5-wlan1,1705640397.2641852
23,sta4,0.0,39,-71.0,-67.0,0.025,0.024,ap1-wlan1,ap4-wlan1,ap4-wlan1,1705640418.4744258
24,sta2,0.0,6,-77.0,-76.0,0.037,0.031,ap2-wlan1,ap3-wlan1,ap3-wlan1,1705640464.4094965
25,sta1,0.0,6,-75.0,-64.0,0.027,0.034,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705640565.9888153
26,sta4,0.0,39,-78.0,-67.0,0.029,0.035,ap1-wlan1,ap2-wlan1,ap2-wlan1,1705640587.1867912
27,sta4,0.0,6,-75.0,-73.0,0.024,0.022,ap2-wlan1,ap4-wlan1,ap4-wlan1,1705640630.8948398
28,sta2,0.0,39,-80.0,-67.0,0.029,0.026,ap1-wlan1,ap3-wlan1,ap3-wlan1,1705640652.131142
29,sta1,0.0,6,-77.0,-69.0,0.037,0.029,ap2-wlan1,ap3-wlan1,ap3-wlan1,1705640732.888906
30,sta4,0.0,39,-62.0,-67.0,0.03,0.029,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705640756.1327362
31,sta3,0.0,6,-58.0,-52.0,0.038,0.027,ap1-wlan1,ap4-wlan1,ap4-wlan1,1705640783.4666755
32,sta3,0.0,6,-80.0,-67.0,0.022,0.028,ap4-wlan1,ap5-wlan1,ap5-wlan1,1705640823.113119
33,sta1,0.0,6,-78.0,-68.0,0.029,0.029,ap1-wlan1,ap3-wlan1,ap3-wlan1,1705640922.7958364
34,sta1,0.0,6,-78.0,-55.0,0.023,0.024,ap3-wlan1,ap5-wlan1,ap5-wlan1,1705640962.764062
35,sta4,0.0,6,-60.0,-65.0,0.024,0.024,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705640985.9266639
36,sta1,0.0,6,-80.0,-76.0,0.032,0.02,ap5-wlan1,ap4-wlan1,ap4-wlan1,1705641021.6166904
37,sta3,0.0,6,-78.0,-70.0,0.029,0.023,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705641055.3004773
38,sta2,0.0,6,-79.0,-55.0,0.026,0.024,ap3-wlan1,ap2-wlan1,ap2-wlan1,1705641088.939371
39,sta3,0.0,6,-78.0,-72.0,0.029,0.024,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705641134.9521785
40,sta1,0.0,6,-75.0,-69.0,0.029,0.045,ap1-wlan1,ap4-wlan1,ap4-wlan1,1705641181.0314786
41,sta4,0.0,6,-78.0,-65.0,0.029,0.024,ap2-wlan1,ap4-wlan1,ap4-wlan1,1705641227.1598628
42,sta1,0.0,6,-74.0,-68.0,0.024,0.023,ap2-wlan1,ap4-wlan1,ap4-wlan1,1705641260.8218892
43,sta2,0.0,6,-79.0,-72.0,0.039,0.03,ap1-wlan1,ap3-wlan1,ap3-wlan1,1705641290.285422
44,sta1,0.0,6,-77.0,-62.0,0.02,0.029,ap4-wlan1,ap5-wlan1,ap5-wlan1,1705641317.7789466
45,sta3,0.0,6,-73.0,-67.0,0.028,0.024,ap1-wlan1,ap4-wlan1,ap4-wlan1,1705641353.536016
46,sta1,0.0,1,-79.0,-79.0,0.022,0.022,ap5-wlan1,ap1-wlan1,ap1-wlan1,1705641374.739489
47,sta4,0.0,6,-61.0,-56.0,0.028,0.023,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705641395.9376483
48,sta2,0.0,6,-78.0,-58.0,0.031,0.022,ap1-wlan1,ap3-wlan1,ap3-wlan1,1705641441.8310747
49,sta3,0.0,6,-79.0,-69.0,0.03,0.024,ap4-wlan1,ap3-wlan1,ap3-wlan1,1705641463.1156287
50,sta2,0.0,6,-73.0,-72.0,0.023,0.023,ap3-wlan1,ap5-wlan1,ap5-wlan1,1705641496.8395894
51,sta2,0.0,6,-70.0,-67.0,0.03,0.041,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705641588.4093018
52,sta3,0.0,6,-80.0,-65.0,0.023,0.024,ap1-wlan1,ap3-wlan1,ap3-wlan1,1705641634.5979877
53,sta1,0.0,6,-79.0,-65.0,0.025,0.03,ap1-wlan1,ap3-wlan1,ap3-wlan1,1705641680.6469376
54,sta4,0.0,39,-69.0,-65.0,0.031,0.02,ap1-wlan1,ap4-wlan1,ap4-wlan1,1705641701.8574886
55,sta3,0.0,6,-77.0,-70.0,0.02,0.02,ap3-wlan1,ap5-wlan1,ap5-wlan1,1705641755.907183
56,sta2,0.0,6,-77.0,-70.0,0.025,0.023,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705641818.4440544
57,sta1,0.0,6,-74.0,-68.0,0.028,0.037,ap4-wlan1,ap2-wlan1,ap2-wlan1,1705641846.066646
58,sta4,0.0,6,-64.0,-69.0,0.082,0.02,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705641869.3233573
59,sta1,0.0,6,-78.0,-67.0,0.021,0.027,ap2-wlan1,ap3-wlan1,ap3-wlan1,1705641902.845566
60,sta1,0.0,1,-79.0,-79.0,0.022,0.022,ap3-wlan1,ap1-wlan1,ap1-wlan1,1705641942.562836
61,sta2,0.0,6,-67.0,-69.0,0.025,0.031,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705641972.0593336
62,sta2,0.0,6,-78.0,-67.0,0.027,0.035,ap5-wlan1,ap4-wlan1,ap4-wlan1,1705642016.0731971
63,sta4,0.0,6,-79.0,-54.0,0.058,0.025,ap3-wlan1,ap2-wlan1,ap2-wlan1,1705642076.4334002
64,sta2,0.0,1,-80.0,-80.0,0.036,0.036,ap2-wlan1,ap1-wlan1,ap1-wlan1,1705642097.790735
65,sta1,0.0,6,-81.0,-68.0,0.03,0.027,ap1-wlan1,ap3-wlan1,ap3-wlan1,1705642125.2129178
66,sta4,0.0,6,-77.0,-74.0,0.027,0.035,ap2-wlan1,ap4-wlan1,ap4-wlan1,1705642146.442351
67,sta2,0.0,6,-82.0,-68.0,0.032,0.03,ap1-wlan1,ap2-wlan1,ap2-wlan1,1705642167.7025998
68,sta1,0.0,6,-81.0,-68.0,0.023,0.024,ap1-wlan1,ap2-wlan1,ap2-wlan1,1705642219.868175
69,sta2,0.0,6,-80.0,-74.0,0.039,0.028,ap2-wlan1,ap5-wlan1,ap5-wlan1,1705642249.3832245
70,sta3,0.0,6,-79.0,-55.0,0.036,0.044,ap4-wlan1,ap2-wlan1,ap2-wlan1,1705642270.6694567
71,sta4,0.0,6,-66.0,-67.0,0.025,0.026,ap1-wlan1,ap4-wlan1,ap4-wlan1,1705642299.9808953
72,sta3,0.0,6,-79.0,-76.0,0.026,0.027,ap2-wlan1,ap3-wlan1,ap3-wlan1,1705642327.4464164
73,sta1,0.0,6,-81.0,-67.0,0.036,0.038,ap1-wlan1,ap2-wlan1,ap2-wlan1,1705642373.7171166
74,sta3,0.0,6,-82.0,-70.0,0.024,0.024,ap1-wlan1,ap3-wlan1,ap3-wlan1,1705642407.5304716
75,sta2,0.0,6,-76.0,-66.0,0.023,0.029,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705642465.9753978
76,sta3,0.0,6,-77.0,-58.0,0.039,0.028,ap1-wlan1,ap3-wlan1,ap3-wlan1,1705642487.164861
77,sta3,0.0,6,-75.0,-74.0,0.04,0.029,ap3-wlan1,ap4-wlan1,ap4-wlan1,1705642528.8952384
78,sta4,0.0,6,-77.0,-69.0,0.031,0.032,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705642556.4179666
79,sta2,0.0,1,-79.0,-79.0,0.035,0.035,ap3-wlan1,ap1-wlan1,ap1-wlan1,1705642577.7214367
80,sta2,0.0,6,-82.0,-69.0,0.036,0.035,ap1-wlan1,ap3-wlan1,ap3-wlan1,1705642617.4228458
81,sta4,0.0,6,-73.0,-68.0,0.038,0.021,ap1-wlan1,ap4-wlan1,ap4-wlan1,1705642677.9204786
82,sta2,0.0,6,-72.0,-72.0,0.042,0.023,ap3-wlan1,ap5-wlan1,ap5-wlan1,1705642699.2013135
83,sta3,0.0,6,-66.0,-56.0,0.03,0.033,ap1-wlan1,ap4-wlan1,ap4-wlan1,1705642720.4562864
84,sta3,0.0,6,-74.0,-69.0,0.028,0.041,ap4-wlan1,ap5-wlan1,ap5-wlan1,1705642762.1591656
85,sta4,0.0,6,-74.0,-71.0,0.022,0.046,ap4-wlan1,ap2-wlan1,ap2-wlan1,1705642789.5309153
86,sta3,0.0,6,-74.0,-73.0,0.037,0.028,ap5-wlan1,ap3-wlan1,ap3-wlan1,1705642817.1082509
