,STA,HO_failureratio,total_throughput,RSSI_current,RSSI_target,Delay_current,Delay_target,Current_AP,Target_AP,New_Associated_AP,time
0,sta3,0.0,6,-66.0,-54.0,0.028,0.024,ap1-wlan1,ap4-wlan1,ap4-wlan1,1705721627.452603
1,sta2,0.0,6,-77.0,-68.0,0.025,0.03,ap2-wlan1,ap4-wlan1,ap4-wlan1,1705721678.7864761
2,sta1,0.0,6,-73.0,-68.0,0.03,0.053,ap1-wlan1,ap4-wlan1,ap4-wlan1,1705721695.1884503
3,sta4,0.0,6,-75.0,-66.0,0.027,0.029,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705721705.4490933
4,sta2,0.0,6,-79.0,-71.0,0.019,0.024,ap4-wlan1,ap5-wlan1,ap5-wlan1,1705721715.6007109
5,sta3,0.0,6,-83.0,-72.0,0.03,0.028,ap1-wlan1,ap3-wlan1,ap3-wlan1,1705721774.9792821
6,sta2,0.0,6,-73.0,-72.0,0.026,0.029,ap1-wlan1,ap4-wlan1,ap4-wlan1,1705721799.4861257
7,sta1,0.0,6,-74.0,-71.0,0.037,0.024,ap1-wlan1,ap4-wlan1,ap4-wlan1,1705721815.9406078
8,sta2,0.0,6,-70.0,-67.0,0.031,0.028,ap1-wlan1,ap4-wlan1,ap4-wlan1,1705721856.856656
9,sta1,0.0,6,-69.0,-67.0,0.035,0.025,ap1-wlan1,ap4-wlan1,ap4-wlan1,1705721873.2402456
10,sta2,0.0,6,-79.0,-71.0,0.024,0.044,ap4-wlan1,ap5-wlan1,ap5-wlan1,1705721889.6543534
11,sta1,0.0,6,-74.0,-68.0,0.022,0.028,ap4-wlan1,ap5-wlan1,ap5-wlan1,1705721908.0172906
12,sta1,0.0,6,-75.0,-73.0,0.023,0.027,ap5-wlan1,ap3-wlan1,ap3-wlan1,1705721936.6307468
13,sta2,0.0,6,-78.0,-72.0,0.027,0.021,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705721977.5200865
14,sta4,0.0,6,-79.0,-72.0,0.023,0.024,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705721999.9646769
15,sta3,0.0,6,-54.0,-59.0,0.03,0.03,ap1-wlan1,ap4-wlan1,ap4-wlan1,1705722018.4073498
16,sta2,0.0,6,-79.0,-73.0,0.029,0.03,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705722040.9663322
17,sta3,0.0,6,-75.0,-67.0,0.036,0.023,ap4-wlan1,ap2-wlan1,ap2-wlan1,1705722051.1829178
18,sta1,0.0,6,-79.0,-72.0,0.034,0.033,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705722086.0928745
19,sta2,0.0,6,-75.0,-66.0,0.054,0.034,ap5-wlan1,ap4-wlan1,ap4-wlan1,1705722104.3816895
20,sta3,0.0,6,-80.0,-66.0,0.058,0.03,ap1-wlan1,ap2-wlan1,ap2-wlan1,1705722139.1788359
21,sta4,0.0,6,-78.0,-61.0,0.029,0.027,ap3-wlan1,ap2-wlan1,ap2-wlan1,1705722155.6429772
22,sta2,0.0,1,-79.0,-79.0,0.024,0.024,ap4-wlan1,ap1-wlan1,ap1-wlan1,1705722165.9257739
23,sta4,0.0,6,-78.0,-66.0,0.025,0.025,ap2-wlan1,ap4-wlan1,ap4-wlan1,1705722188.5931451
24,sta1,0.0,6,-82.0,-71.0,0.023,0.023,ap1-wlan1,ap3-wlan1,ap3-wlan1,1705722211.0714407
25,sta2,0.0,6,-70.0,-59.0,0.023,0.025,ap1-wlan1,ap4-wlan1,ap4-wlan1,1705722227.530743
26,sta3,0.0,6,-78.0,-73.0,0.022,0.021,ap2-wlan1,ap4-wlan1,ap4-wlan1,1705722239.759146
27,sta2,0.0,6,-75.0,-66.0,0.026,0.022,ap4-wlan1,ap2-wlan1,ap2-wlan1,1705722262.2553413
28,sta4,0.0,6,-63.0,-44.0,0.033,0.024,ap1-wlan1,ap4-wlan1,ap4-wlan1,1705722284.853181
29,sta4,0.0,6,-76.0,-71.0,0.032,0.024,ap4-wlan1,ap2-wlan1,ap2-wlan1,1705722313.5648317
30,sta3,0.0,6,-74.0,-67.0,0.027,0.043,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705722329.932905
31,sta4,0.0,6,-76.0,-76.0,0.035,0.029,ap2-wlan1,ap3-wlan1,ap3-wlan1,1705722346.278133
32,sta1,0.0,6,-77.0,-69.0,0.032,0.028,ap1-wlan1,ap5-wlan1,ap5-wlan1,1705722395.7907443
33,sta4,0.0,6,-80.0,-71.0,0.024,0.021,ap1-wlan1,ap2-wlan1,ap2-wlan1,1705722406.0352075
34,sta2,0.0,6,-82.0,-70.0,0.027,0.025,ap1-wlan1,ap3-wlan1,ap3-wlan1,1705722441.2591052
