,STA,eventTYpes,HO_failureratio,total_throughput,RSSI_current,RSSI_target,Delay_current,Delay_target,Current_AP,Target_AP,New_Associated_AP,time
0,sta4,HO_5G2WiFi,0.0,130,-78.0,-63.0,0.035,0.034,ap1-wlan1,ap2-wlan1,ap2-wlan1,1707345847.5164957
1,sta2,HO_WiFi25G,0.0,1,-73.0,-68.0,0.029,0.029,ap5-wlan1,ap1-wlan1,ap1-wlan1,1707345857.747
2,sta10,HO_WiFi2WiFi,0.0,130,-77.0,-74.0,0.029,0.021,ap5-wlan1,ap4-wlan1,ap4-wlan1,1707345868.0490508
3,sta16,HO_WiFi25G,0.0,1,-73.0,-70.0,0.031,0.06,ap4-wlan1,ap1-wlan1,ap1-wlan1,1707345876.2425408
4,sta9,HO_5G2WiFi,0.0,130,-73.0,-60.0,0.031,0.026,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707345884.5197136
5,sta15,HO_WiFi2WiFi,0.0,65,-76.0,-74.0,0.029,0.022,ap4-wlan1,ap3-wlan1,ap3-wlan1,1707345892.7122786
6,sta7,HO_5G2WiFi,0.0,130,-68.0,-43.0,0.028,0.022,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707345903.083867
7,sta12,HO_WiFi2WiFi,0.0,130,-77.0,-75.0,0.031,0.024,ap4-wlan1,ap2-wlan1,ap2-wlan1,1707345915.62622
8,sta2,HO_5G2WiFi,0.0,6,-77.0,-62.0,0.047,0.025,ap1-wlan1,ap3-wlan1,ap3-wlan1,1707345926.08728
9,sta3,HO_5G2WiFi,0.0,130,-74.0,-67.0,0.03,0.03,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707345932.2552931
10,sta16,HO_5G2WiFi,0.0,130,-73.0,-65.0,0.028,0.019,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707345940.5283642
11,sta14,HO_WiFi2WiFi,0.0,130,-75.0,-69.0,0.027,0.025,ap2-wlan1,ap3-wlan1,ap3-wlan1,1707345955.1833465
12,sta7,HO_WiFi2WiFi,0.0,130,-74.0,-71.0,0.035,0.025,ap5-wlan1,ap3-wlan1,ap3-wlan1,1707345961.3362691
13,sta6,HO_WiFi2WiFi,0.0,130,-74.0,-71.0,0.024,0.027,ap2-wlan1,ap3-wlan1,ap3-wlan1,1707345967.5029514
14,sta3,HO_WiFi25G,0.0,1,-79.0,-78.0,0.03,0.032,ap5-wlan1,ap1-wlan1,ap1-wlan1,1707345988.3361647
15,sta1,HO_WiFi2WiFi,0.0,130,-73.0,-73.0,0.035,0.035,ap3-wlan1,ap2-wlan1,ap2-wlan1,1707345998.641237
16,sta2,HO_WiFi2WiFi,0.0,6,-77.0,-72.0,0.026,0.029,ap3-wlan1,ap5-wlan1,ap5-wlan1,1707346029.807386
17,sta10,HO_5G2WiFi,0.0,130,-72.0,-70.0,0.026,0.023,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707346037.9705534
18,sta16,HO_5G2WiFi,0.0,130,-79.0,-64.0,0.026,0.023,ap1-wlan1,ap3-wlan1,ap3-wlan1,1707346044.112391
