,STA,eventTYpes,HO_failureratio,total_throughput,RSSI_current,RSSI_target,Delay_current,Delay_target,Current_AP,Target_AP,New_Associated_AP,time
0,sta2,HO_5G2WiFi,0.0,39,-78.0,-61.0,0.094,0.024,ap1-wlan1,ap3-wlan1,ap3-wlan1,1706921081.8630877
1,sta2,HO_WiFi2WiFi,0.0,13,-73.0,-72.0,0.035,0.022,ap3-wlan1,ap2-wlan1,ap2-wlan1,1706921118.2548614
2,sta2,HO_WiFi2WiFi,0.0,13,-74.0,-70.0,0.036,0.024,ap2-wlan1,ap4-wlan1,ap4-wlan1,1706921141.8483124
3,sta1,HO_5G2WiFi,0.0,13,-79.0,-72.0,0.033,0.03,ap1-wlan1,ap3-wlan1,ap3-wlan1,1706921167.277602
4,sta1,HO_WiFi2WiFi,0.0,13,-75.0,-71.0,0.023,0.031,ap3-wlan1,ap2-wlan1,ap2-wlan1,1706921219.7345822
5,sta2,HO_5G2WiFi,0.0,13,-74.0,-71.0,0.03,0.028,ap1-wlan1,ap4-wlan1,ap4-wlan1,1706921245.122942
6,sta2,HO_WiFi25G,0.0,1,-70.0,-71.0,0.052,0.027,ap4-wlan1,ap1-wlan1,ap1-wlan1,1706921291.324006
7,sta2,HO_5G2WiFi,0.0,13,-71.0,-65.0,0.034,0.057,ap1-wlan1,ap2-wlan1,ap2-wlan1,1706921310.6065946
8,sta2,HO_WiFi2WiFi,0.0,58,-72.0,-72.0,0.031,0.021,ap2-wlan1,ap3-wlan1,ap3-wlan1,1706921329.8311493
9,sta1,HO_WiFi2WiFi,0.0,13,-76.0,-75.0,0.03,0.023,ap2-wlan1,ap4-wlan1,ap4-wlan1,1706921413.8895314
10,sta2,HO_5G2WiFi,0.0,13,-77.0,-70.0,0.024,0.022,ap1-wlan1,ap3-wlan1,ap3-wlan1,1706921431.0554352
11,sta1,HO_WiFi25G,0.0,1,-64.0,-63.0,0.028,0.04,ap4-wlan1,ap1-wlan1,ap1-wlan1,1706921462.7965982
12,sta1,HO_5G2WiFi,0.0,13,-62.0,-68.0,0.031,0.023,ap1-wlan1,ap4-wlan1,ap4-wlan1,1706921484.0413396
13,sta2,HO_WiFi25G,0.0,54,-72.0,-72.0,0.027,0.024,ap3-wlan1,ap1-wlan1,ap1-wlan1,1706921524.0466142
14,sta2,HO_5G2WiFi,0.0,58,-55.0,-64.0,0.028,0.021,ap1-wlan1,ap5-wlan1,ap5-wlan1,1706921545.3356216
