,STA,eventTYpes,HO_failureratio,total_throughput,RSSI_current,RSSI_target,Delay_current,Delay_target,Current_AP,Target_AP,New_Associated_AP,time
0,sta2,HO_5G2WiFi,0.0,52,-78.0,-61.0,0,0,ap1-wlan1,ap3-wlan1,ap3-wlan1,1707098243.9484289
1,sta1,HO_WiFi2WiFi,0.0,65,-78.0,-68.0,0,0,ap4-wlan1,ap5-wlan1,ap5-wlan1,1707098261.3426645
2,sta2,HO_WiFi2WiFi,0.0,65,-74.0,-72.0,0,0,ap3-wlan1,ap2-wlan1,ap2-wlan1,1707098291.246207
3,sta1,HO_WiFi2WiFi,0.0,130,-77.0,-77.0,0,0,ap5-wlan1,ap3-wlan1,ap3-wlan1,1707098308.4778986
4,sta2,HO_WiFi2WiFi,0.0,130,-73.0,-70.0,0,0,ap2-wlan1,ap4-wlan1,ap4-wlan1,1707098325.6465206
5,sta1,HO_5G2WiFi,0.0,65,-79.0,-72.0,0,0,ap1-wlan1,ap3-wlan1,ap3-wlan1,1707098351.1871953
6,sta1,HO_WiFi2WiFi,0.0,130,-74.0,-72.0,0,0,ap3-wlan1,ap2-wlan1,ap2-wlan1,1707098403.8437552
7,sta2,HO_5G2WiFi,0.0,130,-75.0,-72.0,0,0,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707098429.260903
8,sta2,HO_WiFi2WiFi,0.0,65,-74.0,-72.0,0,0,ap4-wlan1,ap2-wlan1,ap2-wlan1,1707098482.0275915
9,sta2,HO_WiFi2WiFi,0.0,130,-73.0,-71.0,0,0,ap2-wlan1,ap3-wlan1,ap3-wlan1,1707098509.6297567
10,sta1,HO_WiFi2WiFi,0.0,130,-76.0,-75.0,0,0,ap2-wlan1,ap4-wlan1,ap4-wlan1,1707098597.6079478
11,sta2,HO_5G2WiFi,0.0,130,-78.0,-71.0,0,0,ap1-wlan1,ap3-wlan1,ap3-wlan1,1707098614.8051672
12,sta1,HO_WiFi25G,0.0,1,-67.0,-63.0,0,0,ap4-wlan1,ap1-wlan1,ap1-wlan1,1707098654.9509156
13,sta1,HO_5G2WiFi,0.0,130,-64.0,-68.0,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707098676.300628
14,sta2,HO_WiFi2WiFi,0.0,65,-74.0,-73.0,0,0,ap3-wlan1,ap5-wlan1,ap5-wlan1,1707098720.7077804
15,sta2,HO_WiFi25G,0.0,1,-69.0,-59.0,0,0,ap5-wlan1,ap1-wlan1,ap1-wlan1,1707098741.906105
16,sta2,HO_5G2WiFi,0.0,130,-58.0,-65.0,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707098763.0926816
17,sta2,HO_WiFi25G,0.0,1,-76.0,-73.0,0,0,ap5-wlan1,ap1-wlan1,ap1-wlan1,1707098784.3301022
18,sta2,HO_5G2WiFi,0.0,130,-70.0,-72.0,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707098830.0847864
19,sta2,HO_WiFi25G,0.0,1,-74.0,-70.0,0,0,ap5-wlan1,ap1-wlan1,ap1-wlan1,1707098851.3845377
20,sta2,HO_5G2WiFi,0.0,130,-52.0,-65.0,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707098872.7031467
21,sta2,HO_WiFi25G,0.0,1,-72.0,-62.0,0,0,ap5-wlan1,ap1-wlan1,ap1-wlan1,1707098893.9234705
22,sta2,HO_5G2WiFi,0.0,130,-66.0,-67.0,0,0,ap1-wlan1,ap3-wlan1,ap3-wlan1,1707098915.216568
23,sta1,HO_5G2WiFi,0.0,130,-76.0,-72.0,0,0,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707098965.476654
24,sta2,HO_WiFi2WiFi,0.0,130,-74.0,-72.0,0,0,ap3-wlan1,ap5-wlan1,ap5-wlan1,1707098999.3600726
25,sta1,HO_WiFi2WiFi,0.0,130,-76.0,-72.0,0,0,ap4-wlan1,ap2-wlan1,ap2-wlan1,1707099020.878953
26,sta1,HO_WiFi2WiFi,0.0,130,-74.0,-69.0,0,0,ap2-wlan1,ap4-wlan1,ap4-wlan1,1707099098.2878475
27,sta1,HO_WiFi25G,0.0,1,-61.0,-59.0,0,0,ap4-wlan1,ap1-wlan1,ap1-wlan1,1707099131.9248304
28,sta2,HO_5G2WiFi,0.0,130,-78.0,-72.0,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707099149.1518812
29,sta1,HO_5G2WiFi,0.0,130,-51.0,-63.0,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707099168.40854
30,sta2,HO_WiFi2WiFi,0.0,130,-73.0,-69.0,0,0,ap5-wlan1,ap3-wlan1,ap3-wlan1,1707099210.4178138
31,sta2,HO_WiFi2WiFi,0.0,130,-76.0,-76.0,0,0,ap3-wlan1,ap2-wlan1,ap2-wlan1,1707099254.7858744
32,sta1,HO_WiFi25G,0.0,1,-71.0,-71.0,0,0,ap5-wlan1,ap1-wlan1,ap1-wlan1,1707099282.3401747
33,sta1,HO_5G2WiFi,0.0,130,-64.0,-68.0,0,0,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707099303.6379924
