,STA,eventTYpes,HO_failureratio,total_throughput,RSSI_current,RSSI_target,Delay_current,Delay_target,Current_AP,Target_AP,New_Associated_AP,time
0,sta1,HO_WiFi25G,0.0,11,,,0,0,ap5-wlan1,ap1-wlan1,ap1-wlan1,1707103456.1818385
1,sta2,HO_WiFi2WiFi,0.0,65,,,0,0,ap2-wlan1,ap4-wlan1,ap4-wlan1,1707103487.5314415
2,sta3,HO_WiFi2WiFi,0.0,130,,,0,0,ap4-wlan1,ap2-wlan1,ap2-wlan1,1707103512.9682107
3,sta2,HO_WiFi25G,0.0,1,,,0,0,ap4-wlan1,ap1-wlan1,ap1-wlan1,1707103538.4425714
4,sta1,HO_WiFi25G,0.2,0,,,0,0,ap1-wlan1,ap4-wlan1,ap1-wlan1,1707103543.5919333
5,sta4,HO_WiFi25G,0.16666666666666666,1,,,0,0,ap5-wlan1,ap1-wlan1,ap1-wlan1,1707103569.0144556
6,sta2,HO_WiFi25G,0.2857142857142857,0,,,0,0,ap1-wlan1,ap5-wlan1,ap1-wlan1,1707103574.207351
7,sta1,HO_5G2WiFi,0.25,130,,,0,0,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707103594.3723185
8,sta3,HO_WiFi2WiFi,0.2222222222222222,130,,,0,0,ap2-wlan1,ap3-wlan1,ap3-wlan1,1707103614.5715168
9,sta4,HO_5G2WiFi,0.2,130,,,0,0,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707103634.8258457
10,sta2,HO_5G2WiFi,0.18181818181818182,130,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707103655.0433466
11,sta2,HO_WiFi2WiFi,0.16666666666666666,130,,,0,0,ap5-wlan1,ap4-wlan1,ap4-wlan1,1707103711.350442
12,sta1,New_call,0.23076923076923078,0,,,0,0,ap1-wlan1,ap4-wlan1,ap1-wlan1,1707103737.127455
13,sta3,HO_WiFi2WiFi,0.21428571428571427,130,,,0,0,ap3-wlan1,ap5-wlan1,ap5-wlan1,1707103757.360667
14,sta4,HO_WiFi25G,0.2,1,,,0,0,ap4-wlan1,ap1-wlan1,ap1-wlan1,1707103777.6090083
15,sta1,New_call,0.25,0,,,0,0,ap1-wlan1,ap4-wlan1,ap1-wlan1,1707103787.9233782
16,sta4,HO_5G2WiFi,0.23529411764705882,130,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707103813.1939478
17,sta2,HO_WiFi25G,0.2222222222222222,1,,,0,0,ap4-wlan1,ap1-wlan1,ap1-wlan1,1707103833.440945
18,sta1,HO_5G2WiFi,0.21052631578947367,130,,,0,0,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707103853.761992
19,sta2,HO_5G2WiFi,0.2,130,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707103884.2783535
20,sta1,HO_WiFi25G,0.19047619047619047,1,,,0,0,ap4-wlan1,ap1-wlan1,ap1-wlan1,1707103904.5254006
21,sta1,HO_5G2WiFi,0.18181818181818182,130,,,0,0,ap1-wlan1,ap3-wlan1,ap3-wlan1,1707103940.295119
22,sta3,New_call,0.21739130434782608,0,,,0,0,ap1-wlan1,ap4-wlan1,ap1-wlan1,1707103966.0290198
23,sta3,HO_5G2WiFi,0.20833333333333334,130,,,0,0,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707104001.8404195
24,sta2,HO_WiFi2WiFi,0.2,130,,,0,0,ap5-wlan1,ap3-wlan1,ap3-wlan1,1707104047.712333
25,sta3,HO_WiFi2WiFi,0.19230769230769232,130,,,0,0,ap4-wlan1,ap2-wlan1,ap2-wlan1,1707104073.0707285
26,sta1,New_call,0.2222222222222222,0,,,0,0,ap5-wlan1,ap5-wlan1,ap5-wlan1,1707104088.586714
27,sta4,HO_WiFi2WiFi,0.21428571428571427,130,,,0,0,ap3-wlan1,ap4-wlan1,ap4-wlan1,1707104114.013476
28,sta3,HO_WiFi2WiFi,0.20689655172413793,130,,,0,0,ap2-wlan1,ap3-wlan1,ap3-wlan1,1707104144.5521755
29,sta2,HO_WiFi25G,0.2,1,,,0,0,ap2-wlan1,ap1-wlan1,ap1-wlan1,1707104169.947473
30,sta3,HO_WiFi2WiFi,0.1935483870967742,130,,,0,0,ap3-wlan1,ap5-wlan1,ap5-wlan1,1707104195.336274
31,sta1,HO_WiFi2WiFi,0.1875,130,,,0,0,ap5-wlan1,ap3-wlan1,ap3-wlan1,1707104225.8400826
32,sta3,HO_WiFi2WiFi,0.18181818181818182,130,,,0,0,ap5-wlan1,ap4-wlan1,ap4-wlan1,1707104246.013626
33,sta2,HO_5G2WiFi,0.17647058823529413,130,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707104291.9735813
34,sta1,HO_WiFi25G,0.17142857142857143,1,,,0,0,ap3-wlan1,ap1-wlan1,ap1-wlan1,1707104332.758961
35,sta3,HO_WiFi25G,0.16666666666666666,1,,,0,0,ap4-wlan1,ap1-wlan1,ap1-wlan1,1707104353.0357664
