,STA,eventTYpes,HO_failureratio,total_throughput,RSSI_current,RSSI_target,Delay_current,Delay_target,Current_AP,Target_AP,New_Associated_AP,time
0,sta1,HO_WiFi25G,0.0,1,-75.0,-74.0,0.231,0.034,ap5-wlan1,ap1-wlan1,ap1-wlan1,1707156651.8038974
1,sta2,HO_WiFi2WiFi,0.0,130,-74.0,-67.0,0.029,0.043,ap2-wlan1,ap4-wlan1,ap4-wlan1,1707156671.5427191
2,sta4,HO_5G2WiFi,0.0,65,-78.0,-72.0,0.023,0.02,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707156682.8704782
3,sta3,HO_WiFi2WiFi,0.0,130,-76.0,-76.0,0.025,0.022,ap4-wlan1,ap2-wlan1,ap2-wlan1,1707156694.1953664
4,sta2,HO_WiFi25G,0.0,1,-71.0,-66.0,0.029,0.048,ap4-wlan1,ap1-wlan1,ap1-wlan1,1707156713.787836
5,sta2,HO_5G2WiFi,0.0,130,-68.0,-71.0,0.04,0.023,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707156729.292259
6,sta4,HO_WiFi25G,0.0,18,-69.0,-66.0,0.033,0.029,ap5-wlan1,ap1-wlan1,ap1-wlan1,1707156742.7020123
7,sta1,HO_5G2WiFi,0.0,130,-76.0,-72.0,0.024,0.024,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707156752.034272
8,sta4,HO_5G2WiFi,0.0,130,-64.0,-68.0,0.023,0.024,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707156763.420978
9,sta3,HO_WiFi2WiFi,0.0,130,-77.0,-72.0,0.032,0.027,ap2-wlan1,ap3-wlan1,ap3-wlan1,1707156774.7933214
10,sta2,HO_5G2WiFi,0.0,130,-76.0,-71.0,0.038,0.033,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707156792.439278
11,sta1,HO_WiFi25G,0.0,1,-76.0,-75.0,0.031,0.028,ap4-wlan1,ap1-wlan1,ap1-wlan1,1707156801.5742812
12,sta4,HO_5G2WiFi,0.0,130,-75.0,-71.0,0.028,0.031,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707156835.766763
13,sta2,HO_WiFi25G,0.0,1,-72.0,-68.0,0.026,0.04,ap5-wlan1,ap1-wlan1,ap1-wlan1,1707156844.9639852
14,sta1,HO_5G2WiFi,0.0,130,-67.0,-69.0,0.028,0.025,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707156854.1690316
15,sta2,HO_5G2WiFi,0.0,130,-60.0,-59.0,0.029,0.025,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707156865.5292857
16,sta1,HO_WiFi25G,0.0,1,-70.0,-61.0,0.026,0.03,ap4-wlan1,ap1-wlan1,ap1-wlan1,1707156874.8076198
17,sta1,HO_5G2WiFi,0.0,130,-66.0,-65.0,0.024,0.029,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707156888.1611373
