,STA,eventTYpes,HO_failureratio,total_throughput,RSSI_current,RSSI_target,Delay_current,Delay_target,Current_AP,Target_AP,New_Associated_AP,time
0,sta4,HO_5G2WiFi,0.0,6,,,0,0,ap1-wlan1,ap3-wlan1,ap3-wlan1,1706838721.3970852
1,sta1,HO_WiFi25G,0.0,1,,,0,0,ap5-wlan1,ap1-wlan1,ap1-wlan1,1706838741.872233
2,sta2,HO_WiFi2WiFi,0.0,6,,,0,0,ap2-wlan1,ap4-wlan1,ap4-wlan1,1706838767.165573
3,sta3,HO_WiFi2WiFi,0.0,6,,,0,0,ap4-wlan1,ap2-wlan1,ap2-wlan1,1706838797.691653
4,sta2,HO_WiFi25G,0.0,12,,,0,0,ap4-wlan1,ap1-wlan1,ap1-wlan1,1706838817.8795147
5,sta4,HO_5G2WiFi,0.0,6,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1706838838.0714445
6,sta4,HO_WiFi25G,0.0,1,,,0,0,ap5-wlan1,ap1-wlan1,ap1-wlan1,1706838873.3300018
7,sta1,HO_5G2WiFi,0.0,6,,,0,0,ap1-wlan1,ap4-wlan1,ap4-wlan1,1706838893.460741
8,sta3,HO_WiFi2WiFi,0.0,6,,,0,0,ap2-wlan1,ap3-wlan1,ap3-wlan1,1706838913.6800628
9,sta4,HO_WiFi25G,0.1,0,,,0,0,ap1-wlan1,ap4-wlan1,ap1-wlan1,1706838923.8533874
10,sta1,HO_WiFi25G,0.09090909090909091,1,,,0,0,ap4-wlan1,ap1-wlan1,ap1-wlan1,1706838944.0748923
11,sta2,HO_5G2WiFi,0.08333333333333333,6,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1706838969.4501832
12,sta3,HO_WiFi2WiFi,0.15384615384615385,0,,,0,0,ap3-wlan1,ap3-wlan1,ap3-wlan1,1706838984.6657197
13,sta2,HO_WiFi25G,0.14285714285714285,1,,,0,0,ap5-wlan1,ap1-wlan1,ap1-wlan1,1706839004.8535984
14,sta4,HO_5G2WiFi,0.13333333333333333,6,,,0,0,ap1-wlan1,ap4-wlan1,ap4-wlan1,1706839025.0401218
15,sta2,HO_5G2WiFi,0.125,6,,,0,0,ap1-wlan1,ap4-wlan1,ap4-wlan1,1706839055.3297775
16,sta4,HO_WiFi2WiFi,0.11764705882352941,6,,,0,0,ap4-wlan1,ap2-wlan1,ap2-wlan1,1706839075.582925
17,sta1,HO_WiFi25G,0.16666666666666666,0,,,0,0,ap1-wlan1,ap4-wlan1,ap1-wlan1,1706839080.6518779
18,sta3,HO_WiFi2WiFi,0.15789473684210525,6,,,0,0,ap3-wlan1,ap5-wlan1,ap5-wlan1,1706839100.9152157
19,sta4,HO_WiFi25G,0.15,1,,,0,0,ap2-wlan1,ap1-wlan1,ap1-wlan1,1706839126.2178693
20,sta2,HO_WiFi25G,0.14285714285714285,1,,,0,0,ap4-wlan1,ap1-wlan1,ap1-wlan1,1706839156.5885136
21,sta4,HO_5G2WiFi,0.13636363636363635,6,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1706839176.766326
22,sta1,HO_5G2WiFi,0.13043478260869565,6,,,0,0,ap1-wlan1,ap4-wlan1,ap4-wlan1,1706839196.9085715
23,sta2,HO_5G2WiFi,0.125,6,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1706839222.2096558
24,sta1,HO_WiFi25G,0.12,1,,,0,0,ap4-wlan1,ap1-wlan1,ap1-wlan1,1706839247.5194318
25,sta4,HO_5G2WiFi,0.11538461538461539,6,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1706839277.7745337
26,sta1,HO_5G2WiFi,0.1111111111111111,6,,,0,0,ap1-wlan1,ap3-wlan1,ap3-wlan1,1706839298.0134218
27,sta3,New_call,0.14285714285714285,0,,,0,0,ap1-wlan1,ap4-wlan1,ap1-wlan1,1706839323.3788447
28,sta4,HO_5G2WiFi,0.13793103448275862,6,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1706839368.9577682
29,sta3,HO_5G2WiFi,0.13333333333333333,6,,,0,0,ap1-wlan1,ap4-wlan1,ap4-wlan1,1706839394.1765966
30,sta2,HO_WiFi2WiFi,0.12903225806451613,6,,,0,0,ap5-wlan1,ap3-wlan1,ap3-wlan1,1706839414.3532984
31,sta4,HO_WiFi2WiFi,0.125,6,,,0,0,ap5-wlan1,ap3-wlan1,ap3-wlan1,1706839434.5503247
32,sta1,HO_5G2WiFi,0.12121212121212122,6,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1706839454.6927922
33,sta3,HO_WiFi2WiFi,0.11764705882352941,6,,,0,0,ap4-wlan1,ap2-wlan1,ap2-wlan1,1706839474.8638382
34,sta2,HO_WiFi2WiFi,0.11428571428571428,6,,,0,0,ap3-wlan1,ap2-wlan1,ap2-wlan1,1706839495.2098215
35,sta4,HO_WiFi2WiFi,0.1111111111111111,6,,,0,0,ap3-wlan1,ap4-wlan1,ap4-wlan1,1706839535.9072917
36,sta3,HO_WiFi2WiFi,0.10810810810810811,6,,,0,0,ap2-wlan1,ap3-wlan1,ap3-wlan1,1706839561.2359002
37,sta2,HO_WiFi2WiFi,0.10526315789473684,6,,,0,0,ap2-wlan1,ap4-wlan1,ap4-wlan1,1706839581.3706033
38,sta1,HO_5G2WiFi,0.10256410256410256,6,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1706839606.6955078
39,sta3,HO_WiFi2WiFi,0.1,6,,,0,0,ap3-wlan1,ap5-wlan1,ap5-wlan1,1706839626.8733654
40,sta2,HO_WiFi25G,0.0975609756097561,1,,,0,0,ap4-wlan1,ap1-wlan1,ap1-wlan1,1706839647.1070075
41,sta1,HO_WiFi2WiFi,0.09523809523809523,6,,,0,0,ap5-wlan1,ap3-wlan1,ap3-wlan1,1706839672.5694354
42,sta3,HO_WiFi2WiFi,0.09302325581395349,6,,,0,0,ap5-wlan1,ap4-wlan1,ap4-wlan1,1706839692.811463
43,sta2,HO_5G2WiFi,0.09090909090909091,6,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1706839753.7684124
44,sta1,HO_WiFi25G,0.08888888888888889,1,,,0,0,ap3-wlan1,ap1-wlan1,ap1-wlan1,1706839779.1284692
45,sta3,HO_WiFi25G,0.08695652173913043,1,,,0,0,ap4-wlan1,ap1-wlan1,ap1-wlan1,1706839799.342059
46,sta4,HO_5G2WiFi,0.0851063829787234,6,,,0,0,ap1-wlan1,ap4-wlan1,ap4-wlan1,1706839824.7154953
47,sta4,HO_WiFi2WiFi,0.08333333333333333,6,,,0,0,ap4-wlan1,ap2-wlan1,ap2-wlan1,1706839860.1723905
48,sta2,HO_5G2WiFi,0.08163265306122448,6,,,0,0,ap1-wlan1,ap3-wlan1,ap3-wlan1,1706839910.7438293
49,sta1,HO_5G2WiFi,0.08,6,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1706839956.5023696
50,sta3,HO_5G2WiFi,0.0784313725490196,6,,,0,0,ap1-wlan1,ap4-wlan1,ap4-wlan1,1706839976.7136836
51,sta1,HO_WiFi25G,0.07692307692307693,1,,,0,0,ap5-wlan1,ap1-wlan1,ap1-wlan1,1706840007.265939
52,sta3,HO_WiFi25G,0.07547169811320754,1,,,0,0,ap4-wlan1,ap1-wlan1,ap1-wlan1,1706840027.5398352
53,sta1,HO_5G2WiFi,0.07407407407407407,6,,,0,0,ap1-wlan1,ap4-wlan1,ap4-wlan1,1706840058.031235
54,sta3,HO_5G2WiFi,0.07272727272727272,6,,,0,0,ap1-wlan1,ap4-wlan1,ap4-wlan1,1706840078.1603045
55,sta2,HO_WiFi2WiFi,0.07142857142857142,6,,,0,0,ap2-wlan1,ap3-wlan1,ap3-wlan1,1706840118.8188233
56,sta1,HO_WiFi25G,0.07017543859649122,1,,,0,0,ap4-wlan1,ap1-wlan1,ap1-wlan1,1706840144.065488
57,sta1,HO_5G2WiFi,0.06896551724137931,6,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1706840179.5419283
58,sta3,HO_5G2WiFi,0.06779661016949153,6,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1706840219.9714673
59,sta4,HO_5G2WiFi,0.06666666666666667,6,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1706840245.353174
60,sta1,HO_5G2WiFi,0.06557377049180328,6,,,0,0,ap1-wlan1,ap3-wlan1,ap3-wlan1,1706840285.87554
61,sta3,HO_WiFi2WiFi,0.06451612903225806,6,,,0,0,ap5-wlan1,ap3-wlan1,ap3-wlan1,1706840346.6609638
62,sta2,HO_5G2WiFi,0.06349206349206349,6,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1706840366.8947392
63,sta4,HO_5G2WiFi,0.0625,6,,,0,0,ap1-wlan1,ap4-wlan1,ap4-wlan1,1706840428.0279894
64,sta3,HO_WiFi2WiFi,0.06153846153846154,6,,,0,0,ap2-wlan1,ap4-wlan1,ap4-wlan1,1706840453.398647
65,sta2,HO_5G2WiFi,0.06060606060606061,6,,,0,0,ap1-wlan1,ap3-wlan1,ap3-wlan1,1706840494.0161428
66,sta4,HO_WiFi2WiFi,0.05970149253731343,6,,,0,0,ap4-wlan1,ap2-wlan1,ap2-wlan1,1706840514.2148519
67,sta1,HO_5G2WiFi,0.058823529411764705,6,,,0,0,ap1-wlan1,ap4-wlan1,ap4-wlan1,1706840534.3624241
68,sta2,HO_WiFi2WiFi,0.057971014492753624,6,,,0,0,ap3-wlan1,ap2-wlan1,ap2-wlan1,1706840559.68227
69,sta4,HO_WiFi2WiFi,0.05714285714285714,6,,,0,0,ap2-wlan1,ap3-wlan1,ap3-wlan1,1706840579.931462
70,sta3,HO_5G2WiFi,0.056338028169014086,6,,,0,0,ap1-wlan1,ap4-wlan1,ap4-wlan1,1706840605.187152
71,sta3,HO_WiFi2WiFi,0.05555555555555555,6,,,0,0,ap4-wlan1,ap2-wlan1,ap2-wlan1,1706840661.0515392
72,sta2,HO_WiFi2WiFi,0.0547945205479452,6,,,0,0,ap2-wlan1,ap3-wlan1,ap3-wlan1,1706840681.297715
73,sta1,HO_5G2WiFi,0.05405405405405406,6,,,0,0,ap1-wlan1,ap4-wlan1,ap4-wlan1,1706840706.691457
74,sta3,HO_WiFi2WiFi,0.05333333333333334,6,,,0,0,ap2-wlan1,ap4-wlan1,ap4-wlan1,1706840747.3213258
75,sta2,HO_5G2WiFi,0.05263157894736842,6,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1706840787.9051745
76,sta4,HO_5G2WiFi,0.05194805194805195,6,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1706840808.0376353
77,sta2,HO_WiFi2WiFi,0.05128205128205128,6,,,0,0,ap5-wlan1,ap3-wlan1,ap3-wlan1,1706840838.5604858
78,sta3,HO_5G2WiFi,0.05063291139240506,6,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1706840869.0879989
79,sta1,HO_5G2WiFi,0.05,6,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1706840919.914269
80,sta2,HO_WiFi25G,0.04938271604938271,1,,,0,0,ap3-wlan1,ap1-wlan1,ap1-wlan1,1706840945.2581213
81,sta4,HO_5G2WiFi,0.04878048780487805,6,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1706840965.3877473
82,sta1,HO_WiFi25G,0.04819277108433735,1,,,0,0,ap5-wlan1,ap1-wlan1,ap1-wlan1,1706840985.5589986
83,sta3,HO_WiFi2WiFi,0.047619047619047616,6,,,0,0,ap5-wlan1,ap3-wlan1,ap3-wlan1,1706841005.7595732
