,STA,eventTYpes,HO_failureratio,total_throughput,RSSI_current,RSSI_target,Delay_current,Delay_target,Current_AP,Target_AP,New_Associated_AP,time
0,sta4,HO_5G2WiFi,0.0,65,,,0,0,ap1-wlan1,ap2-wlan1,ap2-wlan1,1707736748.0344865
1,sta10,HO_WiFi25G,0.0,9,,,0,0,ap5-wlan1,ap1-wlan1,ap1-wlan1,1707736759.449506
2,sta16,HO_WiFi25G,0.0,6,,,0,0,ap4-wlan1,ap1-wlan1,ap1-wlan1,1707736764.6899455
3,sta9,HO_5G2WiFi,0.0,6,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707736771.9963062
4,sta8,HO_5G2WiFi,0.2,0,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707736779.181855
5,sta7,HO_5G2WiFi,0.16666666666666666,19,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707736786.47101
6,sta13,HO_5G2WiFi,0.14285714285714285,19,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707736793.7092094
7,sta12,HO_WiFi2WiFi,0.125,19,,,0,0,ap4-wlan1,ap2-wlan1,ap2-wlan1,1707736801.0490513
8,sta2,HO_5G2WiFi,0.1111111111111111,6,,,0,0,ap1-wlan1,ap3-wlan1,ap3-wlan1,1707736810.5695493
9,sta3,HO_5G2WiFi,0.2,0,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707736815.7450979
10,sta10,HO_5G2WiFi,0.2727272727272727,0,,,0,0,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707736820.8996449
11,sta16,HO_5G2WiFi,0.3333333333333333,0,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707736826.0606182
12,sta15,HO_5G2WiFi,0.38461538461538464,0,,,0,0,ap1-wlan1,ap3-wlan1,ap3-wlan1,1707736835.4464624
13,sta13,HO_WiFi2WiFi,0.35714285714285715,19,,,0,0,ap5-wlan1,ap3-wlan1,ap3-wlan1,1707736849.091177
14,sta5,HO_WiFi2WiFi,0.3333333333333333,19,,,0,0,ap2-wlan1,ap4-wlan1,ap4-wlan1,1707736854.2827637
15,sta9,HO_WiFi2WiFi,0.375,0,,,0,0,ap5-wlan1,ap3-wlan1,ap3-wlan1,1707736876.3042274
16,sta8,HO_5G2WiFi,0.35294117647058826,19,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707736883.6783204
17,sta1,HO_WiFi25G,0.3333333333333333,1,,,0,0,ap3-wlan1,ap1-wlan1,ap1-wlan1,1707736914.0810711
18,sta14,HO_WiFi2WiFi,0.3157894736842105,6,,,0,0,ap3-wlan1,ap5-wlan1,ap5-wlan1,1707736925.6631825
19,sta8,HO_5G2WiFi,0.3,6,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707736960.0333486
20,sta13,HO_WiFi2WiFi,0.3333333333333333,0,,,0,0,ap3-wlan1,ap3-wlan1,ap3-wlan1,1707736968.256844
21,sta12,HO_5G2WiFi,0.3181818181818182,6,,,0,0,ap1-wlan1,ap3-wlan1,ap3-wlan1,1707736975.4489202
22,sta1,HO_5G2WiFi,0.30434782608695654,6,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707736993.090638
23,sta9,HO_WiFi2WiFi,0.3333333333333333,0,,,0,0,ap3-wlan1,ap3-wlan1,ap3-wlan1,1707736995.1975987
24,sta6,HO_5G2WiFi,0.36,0,,,0,0,ap1-wlan1,ap3-wlan1,ap3-wlan1,1707737008.895782
25,sta5,HO_5G2WiFi,0.34615384615384615,19,,,0,0,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707737016.1926498
26,sta11,HO_5G2WiFi,0.3333333333333333,19,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707737025.550837
27,sta3,HO_5G2WiFi,0.32142857142857145,19,,,0,0,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707737032.8507469
28,sta10,HO_5G2WiFi,0.3448275862068966,0,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707737037.994705
29,sta16,HO_WiFi2WiFi,0.36666666666666664,0,,,0,0,ap3-wlan1,ap2-wlan1,ap2-wlan1,1707737043.2221947
30,sta6,HO_WiFi2WiFi,0.3870967741935484,0,,,0,0,ap3-wlan1,ap2-wlan1,ap2-wlan1,1707737060.9470348
31,sta5,HO_WiFi2WiFi,0.40625,0,,,0,0,ap4-wlan1,ap2-wlan1,ap2-wlan1,1707737068.2329307
32,sta12,HO_WiFi2WiFi,0.42424242424242425,0,,,0,0,ap3-wlan1,ap2-wlan1,ap2-wlan1,1707737073.4644463
33,sta3,HO_WiFi25G,0.4117647058823529,48,,,0,0,ap4-wlan1,ap1-wlan1,ap1-wlan1,1707737084.9068084
34,sta7,HO_WiFi2WiFi,0.4,6,,,0,0,ap5-wlan1,ap3-wlan1,ap3-wlan1,1707737104.7935286
35,sta13,HO_WiFi2WiFi,0.4166666666666667,0,,,0,0,ap3-wlan1,ap5-wlan1,ap5-wlan1,1707737112.0400085
