,STA,eventTYpes,HO_failureratio,total_throughput,RSSI_current,RSSI_target,Delay_current,Delay_target,Current_AP,Target_AP,New_Associated_AP,time
0,sta4,HO_5G2WiFi,0.0,65,-78.0,-63.0,0.022,0.024,ap1-wlan1,ap2-wlan1,ap2-wlan1,1707728876.2910419
1,sta2,HO_WiFi25G,0.0,1,-73.0,-68.0,0.03,0.023,ap5-wlan1,ap1-wlan1,ap1-wlan1,1707728887.7935596
2,sta10,HO_WiFi2WiFi,0.0,130,-77.0,-74.0,0.028,0.027,ap5-wlan1,ap4-wlan1,ap4-wlan1,1707728899.0479612
3,sta16,HO_WiFi25G,0.0,1,-73.0,-70.0,0.031,0.028,ap4-wlan1,ap1-wlan1,ap1-wlan1,1707728908.423571
4,sta9,HO_5G2WiFi,0.0,130,-73.0,-60.0,0.032,0.021,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707728917.7461774
5,sta15,HO_WiFi2WiFi,0.0,65,-75.0,-74.0,0.021,0.022,ap4-wlan1,ap3-wlan1,ap3-wlan1,1707728926.9829159
6,sta7,HO_5G2WiFi,0.0,130,-68.0,-46.0,0.029,0.029,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707728938.4087687
7,sta12,HO_WiFi2WiFi,0.0,130,-76.0,-74.0,0.025,0.021,ap4-wlan1,ap2-wlan1,ap2-wlan1,1707728951.884996
8,sta2,HO_5G2WiFi,0.0,6,-77.0,-61.0,0.034,0.032,ap1-wlan1,ap3-wlan1,ap3-wlan1,1707728963.3182771
9,sta3,HO_5G2WiFi,0.0,65,-75.0,-67.0,0.03,0.021,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707728970.5540695
10,sta16,HO_5G2WiFi,0.0,65,-72.0,-65.0,0.036,0.034,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707728979.9250903
11,sta14,HO_WiFi2WiFi,0.0,130,-74.0,-70.0,0.024,0.028,ap2-wlan1,ap3-wlan1,ap3-wlan1,1707728995.600248
12,sta7,HO_WiFi2WiFi,0.0,130,-73.0,-72.0,0.03,0.037,ap5-wlan1,ap3-wlan1,ap3-wlan1,1707729002.8232617
