,STA,eventTYpes,HO_failureratio,total_throughput,RSSI_current,RSSI_target,Delay_current,Delay_target,Current_AP,Target_AP,New_Associated_AP,time
0,sta2,HO_5G2WiFi,1.0,0,,,0,0,ap1-wlan1,ap3-wlan1,ap3-wlan1,1707452439.048766
1,sta1,HO_5G2WiFi,0.5,130,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707452446.5918906
2,sta2,HO_WiFi2WiFi,0.6666666666666666,0,,,0,0,ap3-wlan1,ap2-wlan1,ap2-wlan1,1707452466.6957233
3,sta1,HO_WiFi2WiFi,0.75,0,,,0,0,ap5-wlan1,ap3-wlan1,ap3-wlan1,1707452478.5206494
4,sta2,HO_WiFi2WiFi,0.8,0,,,0,0,ap2-wlan1,ap4-wlan1,ap4-wlan1,1707452481.761611
5,sta1,HO_5G2WiFi,0.6666666666666666,130,,,0,0,ap1-wlan1,ap3-wlan1,ap3-wlan1,1707452501.9425151
6,sta2,HO_WiFi2WiFi,0.7142857142857143,0,,,0,0,ap4-wlan1,ap4-wlan1,ap4-wlan1,1707452529.2746782
7,sta1,HO_WiFi2WiFi,0.75,0,,,0,0,ap3-wlan1,ap2-wlan1,ap2-wlan1,1707452549.3262699
8,sta2,HO_5G2WiFi,0.7777777777777778,0,,,0,0,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707452564.8945189
9,sta2,HO_WiFi2WiFi,0.8,0,,,0,0,ap4-wlan1,ap2-wlan1,ap2-wlan1,1707452611.7446666
10,sta2,HO_WiFi2WiFi,0.7272727272727273,130,,,0,0,ap2-wlan1,ap3-wlan1,ap3-wlan1,1707452629.55166
11,sta1,HO_WiFi2WiFi,0.75,0,,,0,0,ap2-wlan1,ap4-wlan1,ap4-wlan1,1707452720.536301
12,sta2,HO_5G2WiFi,0.7692307692307693,0,,,0,0,ap1-wlan1,ap3-wlan1,ap3-wlan1,1707452723.7570305
13,sta1,HO_WiFi25G,0.7857142857142857,0,,,0,0,ap4-wlan1,ap1-wlan1,ap1-wlan1,1707452751.8554032
14,sta1,HO_5G2WiFi,0.7333333333333333,130,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707452773.7041724
15,sta1,HO_5G2WiFi,0.75,0,,,0,0,ap5-wlan1,ap5-wlan1,ap5-wlan1,1707452790.3830092
16,sta2,HO_WiFi25G,0.7647058823529411,0,,,0,0,ap3-wlan1,ap1-wlan1,ap1-wlan1,1707452797.8704395
17,sta2,HO_5G2WiFi,0.7777777777777778,0,,,0,0,ap1-wlan1,ap3-wlan1,ap3-wlan1,1707452914.8599837
18,sta1,HO_5G2WiFi,0.7894736842105263,0,,,0,0,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707452963.5731452
19,sta2,HO_WiFi2WiFi,0.8,0,,,0,0,ap3-wlan1,ap5-wlan1,ap5-wlan1,1707452987.5518057
20,sta1,HO_WiFi2WiFi,0.8095238095238095,0,,,0,0,ap4-wlan1,ap2-wlan1,ap2-wlan1,1707452999.0448432
21,sta2,HO_WiFi2WiFi,0.8181818181818182,0,,,0,0,ap5-wlan1,ap5-wlan1,ap5-wlan1,1707453034.4489129
