,STA,eventTYpes,HO_failureratio,total_throughput,RSSI_current,RSSI_target,Delay_current,Delay_target,Current_AP,Target_AP,New_Associated_AP,time
0,sta1,HO_5G2WiFi,0.0,19,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707437749.2617252
1,sta2,HO_WiFi2WiFi,0.0,19,,,0,0,ap3-wlan1,ap2-wlan1,ap2-wlan1,1707437771.2968102
2,sta1,HO_WiFi2WiFi,0.3333333333333333,0,,,0,0,ap5-wlan1,ap3-wlan1,ap3-wlan1,1707437780.811078
3,sta2,HO_WiFi2WiFi,0.25,130,,,0,0,ap2-wlan1,ap4-wlan1,ap4-wlan1,1707437786.1149414
4,sta1,HO_WiFi2WiFi,0.4,0,,,0,0,ap3-wlan1,ap3-wlan1,ap3-wlan1,1707437788.2606041
5,sta1,HO_5G2WiFi,0.3333333333333333,130,,,0,0,ap1-wlan1,ap3-wlan1,ap3-wlan1,1707437807.973311
6,sta2,HO_WiFi2WiFi,0.42857142857142855,0,,,0,0,ap4-wlan1,ap4-wlan1,ap4-wlan1,1707437839.2235332
7,sta1,HO_WiFi2WiFi,0.375,19,,,0,0,ap3-wlan1,ap2-wlan1,ap2-wlan1,1707437857.0685344
8,sta2,HO_5G2WiFi,0.3333333333333333,19,,,0,0,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707437878.8777418
9,sta2,HO_WiFi2WiFi,0.3,19,,,0,0,ap4-wlan1,ap2-wlan1,ap2-wlan1,1707437928.141032
10,sta2,HO_WiFi2WiFi,0.2727272727272727,130,,,0,0,ap2-wlan1,ap3-wlan1,ap3-wlan1,1707437948.0907185
11,sta1,HO_WiFi2WiFi,0.25,19,,,0,0,ap2-wlan1,ap4-wlan1,ap4-wlan1,1707438041.3644867
12,sta2,HO_5G2WiFi,0.23076923076923078,130,,,0,0,ap1-wlan1,ap3-wlan1,ap3-wlan1,1707438046.6226687
13,sta1,HO_WiFi25G,0.21428571428571427,9,,,0,0,ap4-wlan1,ap1-wlan1,ap1-wlan1,1707438076.6320705
14,sta1,HO_5G2WiFi,0.26666666666666666,0,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707438100.5849617
15,sta1,HO_5G2WiFi,0.3125,0,,,0,0,ap5-wlan1,ap5-wlan1,ap5-wlan1,1707438117.239923
16,sta2,HO_WiFi25G,0.29411764705882354,5,,,0,0,ap3-wlan1,ap1-wlan1,ap1-wlan1,1707438130.9549742
17,sta2,HO_5G2WiFi,0.2777777777777778,19,,,0,0,ap1-wlan1,ap3-wlan1,ap3-wlan1,1707438249.957084
18,sta1,HO_5G2WiFi,0.2631578947368421,19,,,0,0,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707438296.8127575
19,sta2,HO_WiFi2WiFi,0.25,19,,,0,0,ap3-wlan1,ap5-wlan1,ap5-wlan1,1707438326.9089024
20,sta1,HO_WiFi2WiFi,0.23809523809523808,19,,,0,0,ap4-wlan1,ap2-wlan1,ap2-wlan1,1707438340.4200456
21,sta1,HO_WiFi2WiFi,0.22727272727272727,19,,,0,0,ap2-wlan1,ap4-wlan1,ap4-wlan1,1707438418.0501442
22,sta1,HO_WiFi25G,0.21739130434782608,1,,,0,0,ap4-wlan1,ap1-wlan1,ap1-wlan1,1707438446.0047956
23,sta2,HO_5G2WiFi,0.20833333333333334,19,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707438455.4445934
24,sta1,HO_5G2WiFi,0.2,19,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707438469.073492
25,sta2,HO_WiFi2WiFi,0.23076923076923078,0,,,0,0,ap5-wlan1,ap3-wlan1,ap3-wlan1,1707438503.5383759
