,STA,eventTYpes,HO_failureratio,total_throughput,RSSI_current,RSSI_target,Delay_current,Delay_target,Current_AP,Target_AP,New_Associated_AP,time
0,sta2,HO_5G2WiFi,0.0,52,,,0,0,ap1-wlan1,ap3-wlan1,ap3-wlan1,1707521613.054747
1,sta1,HO_5G2WiFi,0.0,65,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707521624.4491887
2,sta2,HO_WiFi2WiFi,0.0,130,,,0,0,ap3-wlan1,ap2-wlan1,ap2-wlan1,1707521648.626889
3,sta1,HO_WiFi2WiFi,0.0,130,,,0,0,ap5-wlan1,ap3-wlan1,ap3-wlan1,1707521660.0848174
4,sta2,HO_WiFi2WiFi,0.0,65,,,0,0,ap2-wlan1,ap4-wlan1,ap4-wlan1,1707521667.3082695
5,sta1,HO_WiFi2WiFi,0.16666666666666666,0,,,0,0,ap3-wlan1,ap3-wlan1,ap3-wlan1,1707521669.4504247
6,sta1,HO_5G2WiFi,0.14285714285714285,130,,,0,0,ap1-wlan1,ap3-wlan1,ap3-wlan1,1707521691.2990525
7,sta1,HO_WiFi2WiFi,0.125,130,,,0,0,ap3-wlan1,ap2-wlan1,ap2-wlan1,1707521742.0545878
8,sta2,HO_5G2WiFi,0.1111111111111111,130,,,0,0,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707521761.8022935
9,sta2,HO_WiFi25G,0.1,1,,,0,0,ap4-wlan1,ap1-wlan1,ap1-wlan1,1707521812.5907779
10,sta2,HO_5G2WiFi,0.09090909090909091,130,,,0,0,ap1-wlan1,ap2-wlan1,ap2-wlan1,1707521822.0366127
11,sta2,HO_WiFi2WiFi,0.08333333333333333,130,,,0,0,ap2-wlan1,ap3-wlan1,ap3-wlan1,1707521839.6263568
12,sta2,HO_WiFi2WiFi,0.15384615384615385,0,,,0,0,ap3-wlan1,ap3-wlan1,ap3-wlan1,1707521915.0352097
13,sta1,HO_WiFi2WiFi,0.14285714285714285,130,,,0,0,ap2-wlan1,ap4-wlan1,ap4-wlan1,1707521934.786794
14,sta2,HO_5G2WiFi,0.13333333333333333,130,,,0,0,ap1-wlan1,ap3-wlan1,ap3-wlan1,1707521942.0449338
15,sta1,HO_WiFi25G,0.125,1,,,0,0,ap4-wlan1,ap1-wlan1,ap1-wlan1,1707521974.3534415
16,sta1,HO_5G2WiFi,0.11764705882352941,130,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707522000.3792567
17,sta2,HO_WiFi25G,0.1111111111111111,1,,,0,0,ap3-wlan1,ap1-wlan1,ap1-wlan1,1707522032.6513143
18,sta2,HO_5G2WiFi,0.10526315789473684,130,,,0,0,ap1-wlan1,ap3-wlan1,ap3-wlan1,1707522158.154099
19,sta1,HO_5G2WiFi,0.1,130,,,0,0,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707522206.8318686
20,sta2,HO_WiFi2WiFi,0.09523809523809523,130,,,0,0,ap3-wlan1,ap5-wlan1,ap5-wlan1,1707522234.7321994
21,sta1,HO_WiFi2WiFi,0.09090909090909091,130,,,0,0,ap4-wlan1,ap2-wlan1,ap2-wlan1,1707522250.3181264
22,sta2,HO_WiFi2WiFi,0.13043478260869565,0,,,0,0,ap5-wlan1,ap5-wlan1,ap5-wlan1,1707522285.7408574
23,sta1,HO_WiFi2WiFi,0.125,130,,,0,0,ap2-wlan1,ap4-wlan1,ap4-wlan1,1707522330.412542
24,sta1,HO_WiFi25G,0.12,1,,,0,0,ap4-wlan1,ap1-wlan1,ap1-wlan1,1707522360.514104
25,sta2,HO_5G2WiFi,0.11538461538461539,130,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707522371.8638477
26,sta1,HO_5G2WiFi,0.1111111111111111,130,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707522387.3687022
27,sta2,HO_WiFi2WiFi,0.10714285714285714,130,,,0,0,ap5-wlan1,ap3-wlan1,ap3-wlan1,1707522419.622992
28,sta1,HO_5G2WiFi,0.13793103448275862,0,,,0,0,ap5-wlan1,ap5-wlan1,ap5-wlan1,1707522430.054094
29,sta2,HO_WiFi2WiFi,0.13333333333333333,130,,,0,0,ap3-wlan1,ap2-wlan1,ap2-wlan1,1707522462.4437165
30,sta1,HO_WiFi25G,0.12903225806451613,1,,,0,0,ap5-wlan1,ap1-wlan1,ap1-wlan1,1707522482.267362
31,sta1,HO_5G2WiFi,0.125,130,,,0,0,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707522508.2203276
32,sta2,HO_WiFi2WiFi,0.12121212121212122,130,,,0,0,ap2-wlan1,ap4-wlan1,ap4-wlan1,1707522531.9573097
33,sta1,HO_5G2WiFi,0.14705882352941177,0,,,0,0,ap4-wlan1,ap4-wlan1,ap4-wlan1,1707522538.1963713
34,sta1,New_call,0.17142857142857143,0,,,0,0,ap1-wlan1,ap4-wlan1,ap1-wlan1,1707522550.8136878
35,sta2,HO_WiFi25G,0.16666666666666666,1,,,0,0,ap4-wlan1,ap1-wlan1,ap1-wlan1,1707522574.4652083
36,sta1,HO_5G2WiFi,0.16216216216216217,130,,,0,0,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707522598.3606331
37,sta2,HO_5G2WiFi,0.15789473684210525,130,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707522614.0085447
38,sta2,HO_WiFi2WiFi,0.15384615384615385,130,,,0,0,ap5-wlan1,ap3-wlan1,ap3-wlan1,1707522635.8990078
39,sta1,HO_WiFi2WiFi,0.15,130,,,0,0,ap4-wlan1,ap2-wlan1,ap2-wlan1,1707522643.2193754
40,sta2,HO_WiFi2WiFi,0.17073170731707318,0,,,0,0,ap3-wlan1,ap3-wlan1,ap3-wlan1,1707522674.4400039
41,sta2,HO_5G2WiFi,0.16666666666666666,130,,,0,0,ap1-wlan1,ap3-wlan1,ap3-wlan1,1707522704.614481
42,sta1,HO_WiFi2WiFi,0.16279069767441862,130,,,0,0,ap2-wlan1,ap4-wlan1,ap4-wlan1,1707522728.6602786
43,sta2,HO_WiFi2WiFi,0.1590909090909091,130,,,0,0,ap3-wlan1,ap5-wlan1,ap5-wlan1,1707522740.2537508
44,sta2,HO_WiFi2WiFi,0.15555555555555556,130,,,0,0,ap5-wlan1,ap3-wlan1,ap3-wlan1,1707522774.6424763
45,sta1,HO_WiFi2WiFi,0.15217391304347827,130,,,0,0,ap4-wlan1,ap2-wlan1,ap2-wlan1,1707522781.9519322
46,sta2,HO_WiFi2WiFi,0.1702127659574468,0,,,0,0,ap3-wlan1,ap3-wlan1,ap3-wlan1,1707522809.6383297
47,sta2,HO_5G2WiFi,0.16666666666666666,130,,,0,0,ap1-wlan1,ap3-wlan1,ap3-wlan1,1707522839.761135
48,sta1,HO_WiFi25G,0.16326530612244897,1,,,0,0,ap2-wlan1,ap1-wlan1,ap1-wlan1,1707522863.9641213
49,sta2,HO_WiFi2WiFi,0.16,130,,,0,0,ap3-wlan1,ap5-wlan1,ap5-wlan1,1707522875.4292257
50,sta2,HO_WiFi25G,0.1568627450980392,1,,,0,0,ap5-wlan1,ap1-wlan1,ap1-wlan1,1707522914.654301
51,sta1,HO_5G2WiFi,0.15384615384615385,130,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707522926.0229726
52,sta1,HO_5G2WiFi,0.16981132075471697,0,,,0,0,ap5-wlan1,ap5-wlan1,ap5-wlan1,1707522930.256536
53,sta1,HO_5G2WiFi,0.16666666666666666,130,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707522960.2806692
