,STA,eventTYpes,HO_failureratio,total_throughput,RSSI_current,RSSI_target,Delay_current,Delay_target,Current_AP,Target_AP,New_Associated_AP,time
0,sta4,HO_5G2WiFi,0.0,65,,,0,0,ap1-wlan1,ap3-wlan1,ap3-wlan1,1707384358.8433561
1,sta1,HO_WiFi25G,0.0,1,,,0,0,ap5-wlan1,ap1-wlan1,ap1-wlan1,1707384384.8540173
2,sta2,HO_WiFi2WiFi,0.0,130,,,0,0,ap2-wlan1,ap4-wlan1,ap4-wlan1,1707384404.7305422
3,sta4,HO_5G2WiFi,0.0,130,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707384424.4182794
4,sta3,HO_WiFi2WiFi,0.0,130,,,0,0,ap4-wlan1,ap2-wlan1,ap2-wlan1,1707384435.8246946
5,sta2,HO_WiFi25G,0.0,1,,,0,0,ap4-wlan1,ap1-wlan1,ap1-wlan1,1707384445.0954463
6,sta4,HO_WiFi25G,0.0,1,,,0,0,ap5-wlan1,ap1-wlan1,ap1-wlan1,1707384473.1344447
7,sta1,HO_5G2WiFi,0.0,130,,,0,0,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707384490.641013
8,sta3,HO_WiFi2WiFi,0.0,130,,,0,0,ap2-wlan1,ap3-wlan1,ap3-wlan1,1707384497.8484302
9,sta4,HO_5G2WiFi,0.0,130,,,0,0,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707384513.2967012
10,sta2,HO_5G2WiFi,0.0,130,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707384520.4894083
11,sta1,HO_WiFi25G,0.0,1,,,0,0,ap4-wlan1,ap1-wlan1,ap1-wlan1,1707384527.7042067
12,sta3,HO_WiFi2WiFi,0.07692307692307693,0,,,0,0,ap3-wlan1,ap3-wlan1,ap3-wlan1,1707384562.7086864
13,sta4,HO_5G2WiFi,0.07142857142857142,130,,,0,0,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707384569.8400009
14,sta2,HO_WiFi25G,0.06666666666666667,1,,,0,0,ap5-wlan1,ap1-wlan1,ap1-wlan1,1707384577.0166912
15,sta3,HO_5G2WiFi,0.0625,130,,,0,0,ap1-wlan1,ap3-wlan1,ap3-wlan1,1707384594.721216
16,sta2,HO_5G2WiFi,0.058823529411764705,65,,,0,0,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707384603.983172
17,sta1,HO_5G2WiFi,0.05555555555555555,130,,,0,0,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707384619.542626
18,sta3,HO_WiFi2WiFi,0.05263157894736842,130,,,0,0,ap3-wlan1,ap5-wlan1,ap5-wlan1,1707384635.088471
19,sta4,HO_WiFi2WiFi,0.05,130,,,0,0,ap4-wlan1,ap2-wlan1,ap2-wlan1,1707384642.3112054
