,STA,eventTYpes,HO_failureratio,total_throughput,RSSI_current,RSSI_target,Delay_current,Delay_target,Current_AP,Target_AP,New_Associated_AP,time
0,sta4,HO_5G2WiFi,0.0,19,-80.0,-65.0,0.029,0.033,ap1-wlan1,ap3-wlan1,ap3-wlan1,1707370792.3322177
1,sta1,HO_WiFi25G,0.0,1,-75.0,-74.0,0.03,0.03,ap5-wlan1,ap1-wlan1,ap1-wlan1,1707370818.539931
2,sta2,HO_WiFi2WiFi,0.0,19,-74.0,-67.0,0.03,0.024,ap2-wlan1,ap4-wlan1,ap4-wlan1,1707370836.2260628
3,sta4,HO_5G2WiFi,0.0,6,-78.0,-71.0,0.062,0.054,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707370845.5576952
4,sta3,HO_WiFi2WiFi,0.2,0,-76.0,-76.0,0.038,0.032,ap4-wlan1,ap2-wlan1,ap2-wlan1,1707370854.8929257
5,sta2,HO_WiFi25G,0.16666666666666666,6,-70.0,-65.0,0.028,0.039,ap4-wlan1,ap1-wlan1,ap1-wlan1,1707370872.654698
6,sta2,HO_5G2WiFi,0.2857142857142857,0,-67.0,-71.0,0.029,0.024,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707370885.9942293
7,sta4,HO_WiFi25G,0.25,12,-68.0,-67.0,0.021,0.03,ap5-wlan1,ap1-wlan1,ap1-wlan1,1707370897.4227302
8,sta1,HO_5G2WiFi,0.2222222222222222,6,-76.0,-73.0,0.033,0.041,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707370904.7719278
9,sta4,HO_5G2WiFi,0.2,130,-64.0,-68.0,0.027,0.027,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707370914.099105
10,sta3,HO_WiFi2WiFi,0.18181818181818182,19,-77.0,-73.0,0.022,0.029,ap2-wlan1,ap3-wlan1,ap3-wlan1,1707370923.4339402
11,sta2,HO_5G2WiFi,0.16666666666666666,19,-76.0,-71.0,0.038,0.037,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707370939.1490202
12,sta1,HO_WiFi25G,0.23076923076923078,0,-75.0,-74.0,0.021,0.023,ap4-wlan1,ap1-wlan1,ap1-wlan1,1707370946.2735732
13,sta4,HO_5G2WiFi,0.21428571428571427,19,-75.0,-71.0,0.021,0.03,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707370978.3261235
14,sta2,HO_WiFi25G,0.2,1,-71.0,-68.0,0.023,0.028,ap5-wlan1,ap1-wlan1,ap1-wlan1,1707370985.4768097
15,sta1,HO_5G2WiFi,0.1875,6,-68.0,-70.0,0.028,0.037,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707370992.6528902
16,sta2,HO_5G2WiFi,0.17647058823529413,130,-59.0,-61.0,0.028,0.027,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707371004.0467927
17,sta1,HO_WiFi25G,0.16666666666666666,1,-70.0,-61.0,0.022,0.038,ap4-wlan1,ap1-wlan1,ap1-wlan1,1707371011.222517
18,sta3,HO_5G2WiFi,0.15789473684210525,130,-78.0,-67.0,0.028,0.025,ap1-wlan1,ap3-wlan1,ap3-wlan1,1707371016.4386983
19,sta1,HO_5G2WiFi,0.15,6,-67.0,-65.0,0.028,0.026,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707371025.6786437
20,sta3,HO_WiFi2WiFi,0.14285714285714285,6,-72.0,-72.0,0.032,0.028,ap3-wlan1,ap5-wlan1,ap5-wlan1,1707371039.293428
21,sta4,HO_WiFi2WiFi,0.13636363636363635,6,-75.0,-71.0,0.026,0.033,ap4-wlan1,ap2-wlan1,ap2-wlan1,1707371044.430961
22,sta4,HO_WiFi2WiFi,0.17391304347826086,0,-76.0,-73.0,0.028,0.022,ap2-wlan1,ap4-wlan1,ap4-wlan1,1707371057.9382815
23,sta4,HO_WiFi25G,0.16666666666666666,1,-71.0,-58.0,0.024,0.027,ap4-wlan1,ap1-wlan1,ap1-wlan1,1707371071.3952155
24,sta4,HO_5G2WiFi,0.16,130,-54.0,-63.0,0.023,0.02,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707371084.687889
25,sta2,HO_WiFi25G,0.15384615384615385,48,-63.0,-58.0,0.021,0.033,ap4-wlan1,ap1-wlan1,ap1-wlan1,1707371091.8569567
26,sta1,HO_5G2WiFi,0.14814814814814814,6,-75.0,-72.0,0.027,0.024,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707371096.986268
27,sta2,HO_5G2WiFi,0.14285714285714285,19,-55.0,-63.0,0.101,0.024,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707371108.4505315
28,sta1,HO_WiFi25G,0.13793103448275862,1,-67.0,-59.0,0.021,0.024,ap4-wlan1,ap1-wlan1,ap1-wlan1,1707371132.3597355
29,sta1,HO_5G2WiFi,0.13333333333333333,6,-51.0,-64.0,0.023,0.021,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707371145.8719604
30,sta4,HO_5G2WiFi,0.12903225806451613,130,-77.0,-72.0,0.035,0.025,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707371153.0797608
31,sta1,HO_WiFi2WiFi,0.15625,0,-76.0,-71.0,0.029,0.025,ap5-wlan1,ap3-wlan1,ap3-wlan1,1707371176.9424076
32,sta3,HO_5G2WiFi,0.18181818181818182,0,-71.0,-73.0,0.023,0.025,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707371184.0658667
33,sta4,HO_5G2WiFi,0.17647058823529413,130,-78.0,-72.0,0.027,0.021,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707371214.3854628
34,sta3,HO_5G2WiFi,0.2,0,-76.0,-72.0,0.022,0.025,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707371240.3457797
35,sta4,HO_WiFi2WiFi,0.2222222222222222,0,-73.0,-69.0,0.028,0.024,ap5-wlan1,ap3-wlan1,ap3-wlan1,1707371253.9145885
36,sta1,HO_5G2WiFi,0.24324324324324326,0,-78.0,-72.0,0.024,0.05,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707371261.1891525
37,sta2,HO_WiFi2WiFi,0.23684210526315788,6,-73.0,-70.0,0.038,0.025,ap5-wlan1,ap3-wlan1,ap3-wlan1,1707371270.656069
38,sta2,HO_WiFi2WiFi,0.23076923076923078,130,-74.0,-73.0,0.023,0.022,ap3-wlan1,ap2-wlan1,ap2-wlan1,1707371290.6149135
39,sta3,HO_WiFi2WiFi,0.25,0,-74.0,-68.0,0.03,0.022,ap4-wlan1,ap2-wlan1,ap2-wlan1,1707371297.8253963
40,sta4,HO_WiFi2WiFi,0.2682926829268293,0,-72.0,-72.0,0.03,0.028,ap3-wlan1,ap2-wlan1,ap2-wlan1,1707371319.785
41,sta4,HO_WiFi2WiFi,0.2619047619047619,130,-74.0,-71.0,0.027,0.02,ap2-wlan1,ap4-wlan1,ap4-wlan1,1707371339.5621107
42,sta1,HO_5G2WiFi,0.2558139534883721,6,-76.0,-72.0,0.025,0.027,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707371346.9307208
43,sta3,HO_WiFi2WiFi,0.25,19,-76.0,-71.0,0.022,0.021,ap2-wlan1,ap3-wlan1,ap3-wlan1,1707371352.1142156
44,sta2,HO_WiFi2WiFi,0.26666666666666666,0,-73.0,-72.0,0.023,0.03,ap2-wlan1,ap4-wlan1,ap4-wlan1,1707371359.350661
45,sta2,HO_WiFi25G,0.2826086956521739,0,-71.0,-58.0,0.024,0.029,ap4-wlan1,ap1-wlan1,ap1-wlan1,1707371389.7681644
46,sta3,HO_WiFi2WiFi,0.2765957446808511,19,-74.0,-69.0,0.024,0.032,ap3-wlan1,ap5-wlan1,ap5-wlan1,1707371397.2562325
47,sta2,HO_5G2WiFi,0.2708333333333333,130,-53.0,-66.0,0.028,0.028,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707371406.488807
48,sta1,HO_WiFi2WiFi,0.2653061224489796,6,-74.0,-67.0,0.031,0.028,ap5-wlan1,ap3-wlan1,ap3-wlan1,1707371411.7156742
49,sta3,HO_WiFi2WiFi,0.26,130,-73.0,-72.0,0.023,0.036,ap5-wlan1,ap4-wlan1,ap4-wlan1,1707371419.0429144
50,sta4,HO_5G2WiFi,0.2549019607843137,19,-77.0,-72.0,0.033,0.021,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707371449.0856762
51,sta2,HO_5G2WiFi,0.25,130,-74.0,-73.0,0.024,0.023,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707371462.4655824
52,sta1,HO_WiFi2WiFi,0.24528301886792453,6,-76.0,-69.0,0.021,0.03,ap3-wlan1,ap5-wlan1,ap5-wlan1,1707371494.6131167
53,sta4,HO_5G2WiFi,0.25925925925925924,0,-73.0,-68.0,0.028,0.052,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707371501.8345716
54,sta1,HO_WiFi25G,0.2545454545454545,1,-66.0,-63.0,0.029,0.032,ap5-wlan1,ap1-wlan1,ap1-wlan1,1707371511.189033
55,sta3,HO_WiFi25G,0.25,36,-79.0,-77.0,0.031,0.025,ap4-wlan1,ap1-wlan1,ap1-wlan1,1707371518.3850021
56,sta2,HO_WiFi2WiFi,0.2631578947368421,0,-74.0,-70.0,0.027,0.049,ap5-wlan1,ap3-wlan1,ap3-wlan1,1707371525.585595
57,sta1,HO_5G2WiFi,0.25862068965517243,6,-66.0,-68.0,0.03,0.025,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707371532.866844
58,sta4,HO_WiFi2WiFi,0.2542372881355932,19,-72.0,-70.0,0.029,0.022,ap4-wlan1,ap2-wlan1,ap2-wlan1,1707371548.4247649
59,sta2,HO_5G2WiFi,0.25,130,-82.0,-72.0,0.029,0.037,ap1-wlan1,ap3-wlan1,ap3-wlan1,1707371578.4400854
60,sta4,HO_WiFi25G,0.2459016393442623,54,-75.0,-73.0,0.023,0.023,ap2-wlan1,ap1-wlan1,ap1-wlan1,1707371622.9628925
61,sta1,HO_5G2WiFi,0.25806451612903225,0,-76.0,-68.0,0.031,0.022,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707371630.205803
62,sta3,HO_5G2WiFi,0.25396825396825395,19,-76.0,-72.0,0.048,0.025,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707371635.3753588
63,sta4,HO_5G2WiFi,0.25,130,-73.0,-64.0,0.03,0.038,ap1-wlan1,ap2-wlan1,ap2-wlan1,1707371640.6091921
64,sta2,HO_WiFi2WiFi,0.26153846153846155,0,-77.0,-71.0,0.022,0.023,ap3-wlan1,ap2-wlan1,ap2-wlan1,1707371645.7653425
65,sta1,HO_WiFi25G,0.25757575757575757,1,-67.0,-64.0,0.027,0.029,ap5-wlan1,ap1-wlan1,ap1-wlan1,1707371669.6804943
66,sta3,HO_WiFi25G,0.2537313432835821,18,-70.0,-68.0,0.025,0.037,ap4-wlan1,ap1-wlan1,ap1-wlan1,1707371676.869573
67,sta1,HO_5G2WiFi,0.25,6,-49.0,-58.0,0.03,0.03,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707371688.2725003
68,sta3,HO_5G2WiFi,0.2463768115942029,130,-59.0,-64.0,0.023,0.036,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707371695.390929
69,sta4,HO_WiFi2WiFi,0.24285714285714285,19,-77.0,-65.0,0.025,0.031,ap2-wlan1,ap4-wlan1,ap4-wlan1,1707371717.3088572
70,sta4,HO_WiFi25G,0.23943661971830985,1,-66.0,-64.0,0.027,0.025,ap4-wlan1,ap1-wlan1,ap1-wlan1,1707371739.298472
71,sta2,HO_WiFi2WiFi,0.25,0,-76.0,-69.0,0.033,0.035,ap2-wlan1,ap3-wlan1,ap3-wlan1,1707371744.5243838
72,sta4,HO_5G2WiFi,0.2465753424657534,19,-67.0,-68.0,0.031,0.025,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707371755.974702
73,sta2,HO_WiFi2WiFi,0.24324324324324326,130,-73.0,-70.0,0.029,0.024,ap3-wlan1,ap2-wlan1,ap2-wlan1,1707371761.2227445
