,STA,eventTYpes,HO_failureratio,total_throughput,RSSI_current,RSSI_target,Delay_current,Delay_target,Current_AP,Target_AP,New_Associated_AP,time
0,sta4,HO_5G2WiFi,0.0,130,,,0,0,ap1-wlan1,ap3-wlan1,ap3-wlan1,1707518741.6604095
1,sta1,HO_WiFi25G,0.0,1,,,0,0,ap5-wlan1,ap1-wlan1,ap1-wlan1,1707518759.0780256
2,sta2,HO_WiFi2WiFi,0.0,130,,,0,0,ap2-wlan1,ap4-wlan1,ap4-wlan1,1707518787.0828865
3,sta4,HO_5G2WiFi,0.0,130,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707518806.741483
4,sta3,HO_WiFi2WiFi,0.0,130,,,0,0,ap4-wlan1,ap2-wlan1,ap2-wlan1,1707518818.057809
5,sta2,HO_WiFi25G,0.0,1,,,0,0,ap4-wlan1,ap1-wlan1,ap1-wlan1,1707518827.3688047
6,sta4,HO_WiFi25G,0.0,1,,,0,0,ap5-wlan1,ap1-wlan1,ap1-wlan1,1707518863.5700696
7,sta1,HO_5G2WiFi,0.0,130,,,0,0,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707518872.7391005
8,sta3,HO_WiFi2WiFi,0.0,130,,,0,0,ap2-wlan1,ap3-wlan1,ap3-wlan1,1707518888.2420182
9,sta4,HO_5G2WiFi,0.0,130,,,0,0,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707518903.6946328
10,sta2,HO_5G2WiFi,0.0,130,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707518910.9129777
11,sta1,HO_WiFi25G,0.0,1,,,0,0,ap4-wlan1,ap1-wlan1,ap1-wlan1,1707518918.0945556
12,sta4,HO_5G2WiFi,0.0,130,,,0,0,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707518960.5458946
13,sta2,HO_WiFi25G,0.0,1,,,0,0,ap5-wlan1,ap1-wlan1,ap1-wlan1,1707518967.6836317
14,sta3,HO_5G2WiFi,0.0,130,,,0,0,ap1-wlan1,ap3-wlan1,ap3-wlan1,1707518993.7035358
15,sta2,HO_5G2WiFi,0.0,130,,,0,0,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707519003.0711176
16,sta1,HO_5G2WiFi,0.0,130,,,0,0,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707519018.6972106
17,sta3,HO_WiFi2WiFi,0.0,130,,,0,0,ap3-wlan1,ap5-wlan1,ap5-wlan1,1707519034.2827358
18,sta4,HO_WiFi2WiFi,0.0,130,,,0,0,ap4-wlan1,ap2-wlan1,ap2-wlan1,1707519041.4023132
19,sta4,HO_WiFi25G,0.0,1,,,0,0,ap2-wlan1,ap1-wlan1,ap1-wlan1,1707519054.8436153
20,sta2,HO_WiFi25G,0.0,1,,,0,0,ap4-wlan1,ap1-wlan1,ap1-wlan1,1707519095.4696348
21,sta1,HO_5G2WiFi,0.0,130,,,0,0,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707519102.6876917
22,sta4,HO_5G2WiFi,0.0,130,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707519112.0650885
23,sta2,HO_5G2WiFi,0.0,130,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707519127.6128905
24,sta1,HO_WiFi25G,0.0,1,,,0,0,ap4-wlan1,ap1-wlan1,ap1-wlan1,1707519143.1944807
25,sta1,HO_5G2WiFi,0.0,130,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707519173.0173554
26,sta4,HO_5G2WiFi,0.0,130,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707519182.2443488
27,sta1,HO_WiFi2WiFi,0.0,130,,,0,0,ap5-wlan1,ap3-wlan1,ap3-wlan1,1707519199.764735
28,sta3,HO_5G2WiFi,0.0,130,,,0,0,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707519223.4618275
29,sta4,HO_5G2WiFi,0.0,130,,,0,0,ap1-wlan1,ap5-wlan1,ap5-wlan1,1707519255.5732386
30,sta3,HO_5G2WiFi,0.0,130,,,0,0,ap1-wlan1,ap4-wlan1,ap4-wlan1,1707519275.0264113
31,sta4,HO_WiFi2WiFi,0.0,130,,,0,0,ap5-wlan1,ap3-wlan1,ap3-wlan1,1707519298.824464
